llm,task,layer,category,control_label,mean_score,std_score
banglat5,g2p,0,A,False,-0.010061353621074702,0.004974944788808196
banglat5,g2p,0,M,False,-0.003329842575762864,0.001277716220889285
banglat5,g2p,0,CB,False,-0.01461210875543827,0.004125381532978447
banglat5,g2p,1,A,False,-1.40456052272177,0.5824244534656657
banglat5,g2p,1,M,False,-0.6984045478813121,0.1082454599980144
banglat5,g2p,1,CB,False,-0.9718834846489386,0.33596449281368657
banglat5,g2p,2,A,False,-1.5764211787875184,0.6804373815716483
banglat5,g2p,2,M,False,-0.8144583226260071,0.14935025499650265
banglat5,g2p,2,CB,False,-1.11912693121478,0.3762234755670486
banglat5,g2p,3,A,False,-2.0822881400760593,0.8638367169435592
banglat5,g2p,3,M,False,-0.981775232566233,0.17075888757405425
banglat5,g2p,3,CB,False,-1.4155406156193258,0.4425270125518399
banglat5,g2p,4,A,False,-2.6053876697303755,1.1168989393359634
banglat5,g2p,4,M,False,-1.0728801897216156,0.2007948350370963
banglat5,g2p,4,CB,False,-1.5021009087998987,0.4524836592812154
banglat5,g2p,5,A,False,-2.4040984707467663,0.9923701882796839
banglat5,g2p,5,M,False,-1.144480419263272,0.2313800177316675
banglat5,g2p,5,CB,False,-2.276291108923337,1.5712339638004427
banglat5,g2p,6,A,False,-2.3228101453973515,0.9600532500442883
banglat5,g2p,6,M,False,-1.1646202034869155,0.23103267765428273
banglat5,g2p,6,CB,False,-1.8539405177474495,0.7568321567252088
banglat5,g2p,7,A,False,-2.3666307090035055,0.9878387578167663
banglat5,g2p,7,M,False,-1.1770296039344434,0.22964262090820367
banglat5,g2p,7,CB,False,-1.8724798141402963,0.958951601262286
banglat5,g2p,8,A,False,-2.393515385832045,1.0083997493453012
banglat5,g2p,8,M,False,-1.2086873988198208,0.22331828092003114
banglat5,g2p,8,CB,False,-1.6755407385412755,0.6792093765414212
banglat5,g2p,9,A,False,-2.3170123219469714,0.9694017790168229
banglat5,g2p,9,M,False,-1.1661335763613558,0.22188711741513004
banglat5,g2p,9,CB,False,-1.805030762783837,0.7883125975018505
banglat5,g2p,10,A,False,-2.3351749207587416,0.8979727788475396
banglat5,g2p,10,M,False,-1.1696062980225208,0.21230761355639405
banglat5,g2p,10,CB,False,-1.8534604632261797,0.8559527555310866
banglat5,g2p,11,A,False,-2.3432944501597386,0.995712574174822
banglat5,g2p,11,M,False,-1.1971521672008458,0.2147472299726694
banglat5,g2p,11,CB,False,-1.9237589129006405,0.9600300207907247
banglat5,g2p,12,A,False,0.09027302146312147,0.020273534214070462
banglat5,g2p,12,M,False,0.06410589843747125,0.009325794877678652
banglat5,g2p,12,CB,False,0.023621837669344017,0.00930953270600249
banglat5,g2p,0,A,True,-0.008835241265489045,0.0030105293174397946
banglat5,g2p,0,M,True,-0.003071127411617157,0.0011012913948013285
banglat5,g2p,0,CB,True,-0.014747113343028435,0.003966097974756059
banglat5,g2p,1,A,True,-1.8244661247488636,0.1407005943897486
banglat5,g2p,1,M,True,-0.8584686836149945,0.04602513283505742
banglat5,g2p,1,CB,True,-1.3067018651084301,0.17169841893748325
banglat5,g2p,2,A,True,-2.019524555733652,0.1309165962288512
banglat5,g2p,2,M,True,-0.9631487460668395,0.04380647795346384
banglat5,g2p,2,CB,True,-1.500051437299186,0.20012660217632985
banglat5,g2p,3,A,True,-2.5242035818966615,0.18583394219123778
banglat5,g2p,3,M,True,-1.0925250172679877,0.04813049166548142
banglat5,g2p,3,CB,True,-1.7523190737815117,0.19699563498406966
banglat5,g2p,4,A,True,-2.781155451169346,0.2959854338446279
banglat5,g2p,4,M,True,-1.1818886174613272,0.07944445678560196
banglat5,g2p,4,CB,True,-1.9777144982624013,0.3673276676871691
banglat5,g2p,5,A,True,-2.9432903264622086,0.3164415833078629
banglat5,g2p,5,M,True,-1.2139169243742545,0.07982025289183232
banglat5,g2p,5,CB,True,-2.5962911611022905,1.528322158474005
banglat5,g2p,6,A,True,-3.150530417043726,0.33713356050131377
banglat5,g2p,6,M,True,-1.2335971411391704,0.07572601843177815
banglat5,g2p,6,CB,True,-2.76623445107692,1.7781104064851125
banglat5,g2p,7,A,True,-3.311633460213605,0.2944227205110835
banglat5,g2p,7,M,True,-1.2548756572050186,0.06693448248671449
banglat5,g2p,7,CB,True,-2.497371952570161,1.0732074991595537
banglat5,g2p,8,A,True,-3.2847177061315604,0.30139116354034345
banglat5,g2p,8,M,True,-1.2313715717107252,0.050406322207804735
banglat5,g2p,8,CB,True,-2.5353783433281953,1.1084689780228743
banglat5,g2p,9,A,True,-3.2342277018992136,0.3160222308252612
banglat5,g2p,9,M,True,-1.2338118020164774,0.05921900450368244
banglat5,g2p,9,CB,True,-2.50445209182801,1.1749014659646162
banglat5,g2p,10,A,True,-3.277954111236428,0.3267110240695
banglat5,g2p,10,M,True,-1.2497760849543782,0.08072488930402918
banglat5,g2p,10,CB,True,-2.2815243788124744,0.8391816117963873
banglat5,g2p,11,A,True,-3.2731503806701467,0.3480305455019899
banglat5,g2p,11,M,True,-1.2275602232100482,0.06698227801363466
banglat5,g2p,11,CB,True,-2.21549014521517,0.6232232911466604
banglat5,g2p,12,A,True,-0.008939299870720584,0.003087313109231802
banglat5,g2p,12,M,True,-0.003192636228655091,0.0012686007978203594
banglat5,g2p,12,CB,True,-0.014602301111538877,0.0037627180503535303
tigerllm,g2p,0,A,False,-0.07549628621988247,0.02995257154413604
tigerllm,g2p,0,M,False,-0.10832298401318505,0.05276423887832775
tigerllm,g2p,0,CB,False,-0.04770585023976619,0.026184005084557385
tigerllm,g2p,1,A,False,-0.4650672161548071,0.11144453457950575
tigerllm,g2p,1,M,False,-0.6205579997462191,0.25831480314445293
tigerllm,g2p,1,CB,False,-0.13332601587140455,0.049722491854989316
tigerllm,g2p,2,A,False,-0.39477675253103534,0.09618643960608304
tigerllm,g2p,2,M,False,-0.5718742536726328,0.2455724968278987
tigerllm,g2p,2,CB,False,-0.11477909428754032,0.04713944189649198
tigerllm,g2p,3,A,False,-0.3337734460397175,0.11722695660797249
tigerllm,g2p,3,M,False,-0.638539175859926,0.3137543957781713
tigerllm,g2p,3,CB,False,-0.1324008840705619,0.06861623020064284
tigerllm,g2p,4,A,False,-0.3763984869056971,0.1392266305728942
tigerllm,g2p,4,M,False,-0.7897192274848445,0.3891940326078096
tigerllm,g2p,4,CB,False,-0.22586951881111722,0.10573841012023923
tigerllm,g2p,5,A,False,-0.38752051858342956,0.14618684025204232
tigerllm,g2p,5,M,False,-0.9081658029287176,0.4379862554451172
tigerllm,g2p,5,CB,False,-0.33401060350825595,0.14409753190612143
tigerllm,g2p,6,A,False,-0.569469636942307,0.19557565548129682
tigerllm,g2p,6,M,False,-1.1412473007846333,0.5277474571458504
tigerllm,g2p,6,CB,False,-0.5174130014576599,0.2021922279908801
tigerllm,g2p,7,A,False,-0.6312426905800825,0.2231610984213503
tigerllm,g2p,7,M,False,-1.2709108919242815,0.562246996954011
tigerllm,g2p,7,CB,False,-0.734438315495024,0.27577903606219223
tigerllm,g2p,8,A,False,-0.49204592845716855,0.1736796423850657
tigerllm,g2p,8,M,False,-1.2393457933546035,0.5970862559095517
tigerllm,g2p,8,CB,False,-0.7358368718643721,0.27182621864518824
tigerllm,g2p,9,A,False,-0.4562928979383565,0.19108899450326366
tigerllm,g2p,9,M,False,-1.243810619155489,0.6053596618369149
tigerllm,g2p,9,CB,False,-0.7559875711818905,0.26166495133538153
tigerllm,g2p,10,A,False,-0.4520842382996286,0.19081167889075784
tigerllm,g2p,10,M,False,-1.1809979573194038,0.5620625749034983
tigerllm,g2p,10,CB,False,-0.8324170432446133,0.27878199804764586
tigerllm,g2p,11,A,False,-0.380866824491196,0.17561708293466324
tigerllm,g2p,11,M,False,-0.9834672624084849,0.48362810708011916
tigerllm,g2p,11,CB,False,-0.7497983927838632,0.2525784516068983
tigerllm,g2p,12,A,False,-0.4230360765024246,0.17192049099331813
tigerllm,g2p,12,M,False,-1.0259415500601352,0.4880349510464429
tigerllm,g2p,12,CB,False,-0.7964624612656166,0.26491761074708564
tigerllm,g2p,13,A,False,-0.39777131448482933,0.15843498378636348
tigerllm,g2p,13,M,False,-0.9473290703953914,0.4505666923486607
tigerllm,g2p,13,CB,False,-0.7436582663791342,0.2410381954037866
tigerllm,g2p,14,A,False,-0.3653684368630003,0.14218127810879264
tigerllm,g2p,14,M,False,-0.8148460188281403,0.38450708948580004
tigerllm,g2p,14,CB,False,-0.7101832418604644,0.22455214786037322
tigerllm,g2p,15,A,False,-0.3252063367800967,0.1484808128784884
tigerllm,g2p,15,M,False,-0.7424320318943057,0.3537746725068188
tigerllm,g2p,15,CB,False,-0.7047430146668077,0.20974111701827813
tigerllm,g2p,16,A,False,-0.2867941600601406,0.13449914372391336
tigerllm,g2p,16,M,False,-0.6242172234650478,0.3099600432272017
tigerllm,g2p,16,CB,False,-0.6865110626987203,0.20378654126622267
tigerllm,g2p,17,A,False,-0.2510704686171431,0.12282494370090155
tigerllm,g2p,17,M,False,-0.5607110862975753,0.2884183312508966
tigerllm,g2p,17,CB,False,-0.6780996985392178,0.205255573154138
tigerllm,g2p,18,A,False,-0.24979006672098625,0.12034936807956069
tigerllm,g2p,18,M,False,-0.5550178514473167,0.27506667084469505
tigerllm,g2p,18,CB,False,-0.6892038756883434,0.2062916626761329
tigerllm,g2p,19,A,False,-0.22425631636396126,0.10903628443227766
tigerllm,g2p,19,M,False,-0.4985140430765444,0.24647157192377836
tigerllm,g2p,19,CB,False,-0.666409061640733,0.20456096721719846
tigerllm,g2p,20,A,False,-0.2020477481276745,0.10513094277169706
tigerllm,g2p,20,M,False,-0.46683453518475204,0.22770588350452148
tigerllm,g2p,20,CB,False,-0.6473259581466206,0.2064155690636876
tigerllm,g2p,21,A,False,-0.18506418883943326,0.09125926549194058
tigerllm,g2p,21,M,False,-0.45480358492995565,0.2240581243734814
tigerllm,g2p,21,CB,False,-0.6051085590174384,0.19007825200487732
tigerllm,g2p,22,A,False,-0.1884039382702723,0.10553208787253904
tigerllm,g2p,22,M,False,-0.4375393804208355,0.23995738698442107
tigerllm,g2p,22,CB,False,-0.5773098459080326,0.173150357270596
tigerllm,g2p,23,A,False,-0.20187599615746588,0.10323864165081928
tigerllm,g2p,23,M,False,-0.438941296522786,0.23129259928175
tigerllm,g2p,23,CB,False,-0.5648143098460243,0.1759267029127465
tigerllm,g2p,24,A,False,-0.19469663182107894,0.10867904548093764
tigerllm,g2p,24,M,False,-0.4880987236230676,0.24917226333779782
tigerllm,g2p,24,CB,False,-0.6010465189395913,0.1823279869324113
tigerllm,g2p,25,A,False,-0.2114200639448852,0.11530384592322887
tigerllm,g2p,25,M,False,-0.4573205711158989,0.2241107676527562
tigerllm,g2p,25,CB,False,-0.5707075276210416,0.16228733447681076
tigerllm,g2p,26,A,False,-0.19986417174048174,0.10809544059344908
tigerllm,g2p,26,M,False,-0.44284229867065683,0.21363643775869282
tigerllm,g2p,26,CB,False,-0.5757074487480909,0.17233731157705381
tigerllm,g2p,27,A,False,-0.20403598199511772,0.12257746764238156
tigerllm,g2p,27,M,False,-0.4365224145986216,0.2162218524847738
tigerllm,g2p,27,CB,False,-0.5850040593209539,0.19797697044846083
tigerllm,g2p,28,A,False,-0.21765882937382536,0.12994510128644918
tigerllm,g2p,28,M,False,-0.4282746182336587,0.19162304297698182
tigerllm,g2p,28,CB,False,-0.5979028828040585,0.19921007368733695
tigerllm,g2p,29,A,False,-0.208912949044129,0.12394373628626079
tigerllm,g2p,29,M,False,-0.37273969336016366,0.16743666492861065
tigerllm,g2p,29,CB,False,-0.5033165666766278,0.17873017876822023
tigerllm,g2p,30,A,False,-0.2373811851004531,0.12852258287880455
tigerllm,g2p,30,M,False,-0.3808375440843039,0.16004986685788242
tigerllm,g2p,30,CB,False,-0.4871258940672753,0.17052010891349223
tigerllm,g2p,31,A,False,-0.3321385270864411,0.15373592094304458
tigerllm,g2p,31,M,False,-0.4770223510719583,0.19154951190021077
tigerllm,g2p,31,CB,False,-0.5763962467972992,0.20846196687026178
tigerllm,g2p,32,A,False,-0.42956245207903265,0.16370100536554885
tigerllm,g2p,32,M,False,-0.5367822691977978,0.21712117092805255
tigerllm,g2p,32,CB,False,-0.6331772865806427,0.23433038379647061
tigerllm,g2p,33,A,False,-0.5086314343171042,0.18219678864008634
tigerllm,g2p,33,M,False,-0.6031737909949844,0.24333769748274886
tigerllm,g2p,33,CB,False,-0.6359549748601767,0.2396659788267061
tigerllm,g2p,34,A,False,-0.6182594554883851,0.21857940495703654
tigerllm,g2p,34,M,False,-0.6602861882506754,0.2727677706617337
tigerllm,g2p,34,CB,False,-0.644321947610844,0.25110435125369934
tigerllm,g2p,35,A,False,-0.7837950088512273,0.2545649901113623
tigerllm,g2p,35,M,False,-0.7362045746096152,0.2827570573751698
tigerllm,g2p,35,CB,False,-0.6552023888826208,0.26623724532960874
tigerllm,g2p,36,A,False,-0.8835944262795028,0.2804733218818274
tigerllm,g2p,36,M,False,-0.7821684314700026,0.30096152563261847
tigerllm,g2p,36,CB,False,-0.6909980807961908,0.2846302980849533
tigerllm,g2p,37,A,False,-0.9620590580541594,0.3103301034368406
tigerllm,g2p,37,M,False,-0.8395557855132829,0.32187106472489124
tigerllm,g2p,37,CB,False,-0.7011066461502287,0.29101759975730834
tigerllm,g2p,38,A,False,-1.0619843135903064,0.3360385959031209
tigerllm,g2p,38,M,False,-0.9166768641563301,0.3329582392625536
tigerllm,g2p,38,CB,False,-0.7197386037210503,0.28359573074466776
tigerllm,g2p,39,A,False,-1.273608406936118,0.38643838490634225
tigerllm,g2p,39,M,False,-1.0258976056543916,0.37276766462395705
tigerllm,g2p,39,CB,False,-0.7201246292436413,0.24675187214776995
tigerllm,g2p,40,A,False,-1.4159269358724766,0.4195092136802433
tigerllm,g2p,40,M,False,-1.104225264662126,0.3933999479372952
tigerllm,g2p,40,CB,False,-0.7187327643072605,0.2190247091422789
tigerllm,g2p,41,A,False,-1.4353886991709754,0.38758564526500994
tigerllm,g2p,41,M,False,-1.1672439295966535,0.4491976778901333
tigerllm,g2p,41,CB,False,-0.7622813419532817,0.23278411863409845
tigerllm,g2p,42,A,False,-1.5184573385387168,0.405617251159321
tigerllm,g2p,42,M,False,-1.2261436864101134,0.4677374853287626
tigerllm,g2p,42,CB,False,-0.7822941436122969,0.2394707923431417
tigerllm,g2p,43,A,False,-1.6370521888131855,0.43972161644530505
tigerllm,g2p,43,M,False,-1.2606580858669347,0.4682256156866888
tigerllm,g2p,43,CB,False,-0.7939118455370882,0.25103590518325347
tigerllm,g2p,44,A,False,-1.71828702006863,0.4723316932269454
tigerllm,g2p,44,M,False,-1.2431622689288178,0.4448920420981173
tigerllm,g2p,44,CB,False,-0.8289992574634463,0.2597122203764373
tigerllm,g2p,45,A,False,-1.3443834475387502,0.39222681319133706
tigerllm,g2p,45,M,False,-1.1121828387553425,0.41326769198609875
tigerllm,g2p,45,CB,False,-0.8220928216183001,0.24835974775413647
tigerllm,g2p,46,A,False,-0.9901722532635017,0.25542943455688627
tigerllm,g2p,46,M,False,-0.8588642314593175,0.30857363706863916
tigerllm,g2p,46,CB,False,-0.8023351582684011,0.23748532310381948
tigerllm,g2p,47,A,False,-0.7604131501794794,0.1955287526170642
tigerllm,g2p,47,M,False,-0.6960552013715615,0.26066519419499773
tigerllm,g2p,47,CB,False,-0.743459192434258,0.22036668699199796
tigerllm,g2p,48,A,False,-0.053671268561640784,0.04849915552355563
tigerllm,g2p,48,M,False,-0.2328028972675733,0.11315222529124415
tigerllm,g2p,48,CB,False,-0.22238101209918265,0.08844850350789274
tigerllm,g2p,0,A,True,-0.17279279795983046,0.014877494744681967
tigerllm,g2p,0,M,True,-0.15247991759394594,0.014351718687980507
tigerllm,g2p,0,CB,True,-0.133882354045503,0.007847792443206221
tigerllm,g2p,1,A,True,-0.6834445732281801,0.06221890596259969
tigerllm,g2p,1,M,True,-0.751484289009282,0.06203597234225562
tigerllm,g2p,1,CB,True,-0.3113625787521019,0.01808215169298376
tigerllm,g2p,2,A,True,-0.7070804774089725,0.06173128305579181
tigerllm,g2p,2,M,True,-0.7711751100060591,0.07086191354749531
tigerllm,g2p,2,CB,True,-0.3692786879473064,0.02098866674164393
tigerllm,g2p,3,A,True,-0.7266066542665948,0.056642273090626666
tigerllm,g2p,3,M,True,-0.8127807763491468,0.05272435029759744
tigerllm,g2p,3,CB,True,-0.4943618128985098,0.018831058512721037
tigerllm,g2p,4,A,True,-0.7722681263640443,0.05030592719710531
tigerllm,g2p,4,M,True,-0.8769147352450302,0.050934274300388604
tigerllm,g2p,4,CB,True,-0.59574845864847,0.022427659775234084
tigerllm,g2p,5,A,True,-0.839274942948621,0.0451299061132643
tigerllm,g2p,5,M,True,-0.9706458807035612,0.06021605143208958
tigerllm,g2p,5,CB,True,-0.723467557497373,0.031804326530426044
tigerllm,g2p,6,A,True,-0.981072612839552,0.05124328114486413
tigerllm,g2p,6,M,True,-1.1292907095478533,0.07534667705889828
tigerllm,g2p,6,CB,True,-0.9083161078262192,0.034429506899608345
tigerllm,g2p,7,A,True,-1.0926660533833756,0.044004046223276826
tigerllm,g2p,7,M,True,-1.26072105945712,0.09585298788994938
tigerllm,g2p,7,CB,True,-1.1243348039610184,0.035858749567022494
tigerllm,g2p,8,A,True,-1.0880803807385382,0.06159928402494871
tigerllm,g2p,8,M,True,-1.2182556584192414,0.09037969913807674
tigerllm,g2p,8,CB,True,-1.217698466992795,0.0329490198394218
tigerllm,g2p,9,A,True,-1.0744000194988776,0.0687627055631959
tigerllm,g2p,9,M,True,-1.2078194541381957,0.05798080273811897
tigerllm,g2p,9,CB,True,-1.288699939996016,0.0267751531667885
tigerllm,g2p,10,A,True,-1.1199164069578762,0.06919928376373678
tigerllm,g2p,10,M,True,-1.2292420621819207,0.06730821082398433
tigerllm,g2p,10,CB,True,-1.3775997339321644,0.0269836936225289
tigerllm,g2p,11,A,True,-1.098424845868505,0.08748071400845076
tigerllm,g2p,11,M,True,-1.1573249429243866,0.07185613534410461
tigerllm,g2p,11,CB,True,-1.3907343634295946,0.032570977538754
tigerllm,g2p,12,A,True,-1.1227154776251567,0.06763389208414901
tigerllm,g2p,12,M,True,-1.1453183453885496,0.065411974071726
tigerllm,g2p,12,CB,True,-1.4542073584644677,0.06926180838554959
tigerllm,g2p,13,A,True,-1.1030772084513278,0.07868133668780844
tigerllm,g2p,13,M,True,-1.116546601839128,0.06552131560705439
tigerllm,g2p,13,CB,True,-1.4694218567772923,0.06441961023502515
tigerllm,g2p,14,A,True,-1.0707356428753487,0.0891747846874719
tigerllm,g2p,14,M,True,-1.053587844063161,0.06653581175380373
tigerllm,g2p,14,CB,True,-1.4616303329384759,0.04361804963638301
tigerllm,g2p,15,A,True,-1.057638006999093,0.07083774372918601
tigerllm,g2p,15,M,True,-1.0207618396090161,0.058636332292881475
tigerllm,g2p,15,CB,True,-1.4632663803735206,0.053821273784285376
tigerllm,g2p,16,A,True,-1.0228813660508254,0.05979215007034473
tigerllm,g2p,16,M,True,-0.9820243474057792,0.06319831521390573
tigerllm,g2p,16,CB,True,-1.4373279387891729,0.06388091615422548
tigerllm,g2p,17,A,True,-1.0242201715270167,0.065839916104502
tigerllm,g2p,17,M,True,-0.9928610708591208,0.06578541892540564
tigerllm,g2p,17,CB,True,-1.434229003719512,0.04731403804294594
tigerllm,g2p,18,A,True,-1.0111252670452766,0.07177199434521928
tigerllm,g2p,18,M,True,-0.9680103766789155,0.05880473164013097
tigerllm,g2p,18,CB,True,-1.4154050358978203,0.047848290673414465
tigerllm,g2p,19,A,True,-1.0113785313298924,0.0790356975310224
tigerllm,g2p,19,M,True,-0.9371172238395596,0.06685187977478824
tigerllm,g2p,19,CB,True,-1.3899021540758034,0.04056586639720027
tigerllm,g2p,20,A,True,-0.9822516820041283,0.07517308986300922
tigerllm,g2p,20,M,True,-0.9153407940643676,0.06578903971774273
tigerllm,g2p,20,CB,True,-1.3825286436458701,0.04289254890189044
tigerllm,g2p,21,A,True,-1.0468868948482921,0.08542618582110957
tigerllm,g2p,21,M,True,-0.9788594594698831,0.0919868361214545
