llm,task,layer,control_label,comparison,p_value
banglat5,g2p,0,False,A>M,0.9979830761074471
banglat5,g2p,0,False,A>CB,0.01952541503520368
banglat5,g2p,0,False,M>A,0.0020169238925529247
banglat5,g2p,0,False,M>CB,2.6567984404661578e-06
banglat5,g2p,0,False,CB>A,0.9804745849647963
banglat5,g2p,0,False,CB>M,0.9999973432015595
banglat5,g2p,1,False,A>M,0.9951221288749708
banglat5,g2p,1,False,A>CB,0.9310897455280444
banglat5,g2p,1,False,M>A,0.0048778711250291994
banglat5,g2p,1,False,M>CB,0.019355850132330536
banglat5,g2p,1,False,CB>A,0.06891025447195569
banglat5,g2p,1,False,CB>M,0.9806441498676695
banglat5,g2p,2,False,A>M,0.9917001566040902
banglat5,g2p,2,False,A>CB,0.913942807475357
banglat5,g2p,2,False,M>A,0.008299843395909837
banglat5,g2p,2,False,M>CB,0.020634164244278146
banglat5,g2p,2,False,CB>A,0.0860571925246429
banglat5,g2p,2,False,CB>M,0.9793658357557219
banglat5,g2p,3,False,A>M,0.9959865862416896
banglat5,g2p,3,False,A>CB,0.946509327989942
banglat5,g2p,3,False,M>A,0.004013413758310479
banglat5,g2p,3,False,M>CB,0.007776762148881964
banglat5,g2p,3,False,CB>A,0.053490672010057944
banglat5,g2p,3,False,CB>M,0.992223237851118
banglat5,g2p,4,False,A>M,0.9977987707190158
banglat5,g2p,4,False,A>CB,0.9857508254253136
banglat5,g2p,4,False,M>A,0.002201229280984191
banglat5,g2p,4,False,M>CB,0.02444231420625502
banglat5,g2p,4,False,CB>A,0.014249174574686458
banglat5,g2p,4,False,CB>M,0.975557685793745
banglat5,g2p,5,False,A>M,0.9961959860543357
banglat5,g2p,5,False,A>CB,0.5892219692459717
banglat5,g2p,5,False,M>A,0.003804013945664297
banglat5,g2p,5,False,M>CB,0.040731206185980494
banglat5,g2p,5,False,CB>A,0.41077803075402836
banglat5,g2p,5,False,CB>M,0.9592687938140195
banglat5,g2p,6,False,A>M,0.994816078464157
banglat5,g2p,6,False,A>CB,0.8814971761233681
