word,phon_vec,syllables,ipa
জয়েন্ট,"[18, 8, 5, 6, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'ɔ'], ['e', 'n', 'ʈ']]",dʒɔenʈ
লক্ষাধিক,"[12, 3, 7, 24, 1, 25, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['l', 'o', 'k'], ['kʰ', 'a'], ['d̪ʱ', 'i', 'k']]",lokkʰad̪ʱik
রোমান্টিক,"[2, 3, 13, 1, 6, 17, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'o'], ['m', 'a', 'n'], ['ʈ', 'i', 'k']]",romanʈik
কোহলির,"[7, 3, 21, 12, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'o', 'h'], ['l', 'i', 'r']]",kohlir
গোয়েন্দা,"[20, 3, 5, 6, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'o'], ['e', 'n'], ['d̪', 'a']]",goend̪a
ক্যাফে,"[7, 29, 27, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'æ'], ['f', 'e']]",kæfe
বিক্রেতারা,"[11, 4, 7, 2, 5, 9, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i', 'k'], ['r', 'e'], ['t̪', 'a'], ['r', 'a']]",bikret̪ara
গাজা,"[20, 1, 18, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'a'], ['dʒ', 'a']]",gadʒa
টানাটানি,"[17, 1, 6, 1, 17, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʈ', 'a'], ['n', 'a'], ['ʈ', 'a'], ['n', 'i']]",ʈanaʈani
অমীমাংসিত,"[8, 13, 4, 13, 1, 31, 10, 4, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ'], ['m', 'i'], ['m', 'a', 'ŋ'], ['ʃ', 'i'], ['t̪', 'o']]",ɔmimaŋʃit̪o
অনুসন্ধানের,"[3, 6, 14, 10, 8, 6, 25, 1, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0]","[['o'], ['n', 'u'], ['ʃ', 'ɔ', 'n'], ['d̪ʱ', 'a'], ['n', 'e', 'r']]",onuʃɔnd̪ʱaner
জাপানে,"[18, 1, 15, 1, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'a'], ['p', 'a'], ['n', 'e']]",dʒapane
সৈন্য,"[10, 35, 6, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'oi̯', 'n'], ['n', 'o']]",ʃoi̯nno
স্বৈরাচারী,"[10, 35, 2, 1, 22, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'oi̯'], ['r', 'a'], ['tʃ', 'a'], ['r', 'i']]",ʃoi̯ratʃari
ছোটখাটো,"[28, 3, 17, 3, 24, 1, 17, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'o'], ['ʈ', 'o'], ['kʰ', 'a'], ['ʈ', 'o']]",tʃʰoʈokʰaʈo
হায়দার,"[21, 40, 16, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'ae̯'], ['d̪', 'a', 'r']]",hae̯d̪ar
পৌঁছতে,"[15, 38, 28, 3, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'ou̯'], ['tʃʰ', 'o'], ['t̪', 'e']]",pou̯tʃʰot̪e
হ্যান্ড,"[21, 29, 6, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'æ', 'n', 'ɖ']]",hænɖ
সৈকতে,"[10, 35, 7, 3, 9, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'oi̯'], ['k', 'o'], ['t̪', 'e']]",ʃoi̯kot̪e
চ্যানেলটি,"[22, 29, 6, 5, 12, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃ', 'æ'], ['n', 'e', 'l'], ['ʈ', 'i']]",tʃænelʈi
দুর্ভোগের,"[16, 14, 2, 23, 3, 20, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'u', 'r'], ['bʱ', 'o'], ['g', 'e', 'r']]",d̪urbʱoger
ফাহাদ,"[27, 1, 21, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['f', 'a'], ['h', 'a', 'd̪']]",fahad̪
পাবনার,"[15, 1, 11, 6, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'a', 'b'], ['n', 'a', 'r']]",pabnar
