word,phon_vec,syllables,ipa
করণের,"[7, 8, 2, 3, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ'], ['r', 'o'], ['n', 'e', 'r']]",kɔroner
রোমে,"[2, 3, 13, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'o'], ['m', 'e']]",rome
দুর্ভোগের,"[16, 14, 2, 23, 3, 20, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'u', 'r'], ['bʱ', 'o'], ['g', 'e', 'r']]",d̪urbʱoger
ল্যাবের,"[12, 29, 11, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['l', 'æ'], ['b', 'e', 'r']]",læber
বাইবেলের,"[11, 32, 11, 5, 12, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'ai̯'], ['b', 'e'], ['l', 'e', 'r']]",bai̯beler
কারাদণ্ডের,"[7, 1, 2, 1, 16, 8, 6, 26, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'a'], ['r', 'a'], ['d̪', 'ɔ', 'n'], ['ɖ', 'e', 'r']]",karad̪ɔnɖer
দাশের,"[16, 1, 10, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'a'], ['ʃ', 'e', 'r']]",d̪aʃer
উচ্চারণে,"[14, 22, 22, 1, 2, 3, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['u', 'tʃ'], ['tʃ', 'a'], ['r', 'o'], ['n', 'e']]",utʃtʃarone
মাসুদের,"[13, 1, 19, 14, 16, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'a'], ['s', 'u'], ['d̪', 'e', 'r']]",masud̪er
পোপের,"[15, 3, 15, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'o'], ['p', 'e', 'r']]",poper
গৃহযুদ্ধের,"[20, 2, 4, 21, 3, 18, 14, 16, 25, 5, 2, 0, 0, 0, 0, 0, 0, 0]","[['g', 'r', 'i'], ['h', 'o'], ['dʒ', 'u', 'd̪'], ['d̪ʱ', 'e', 'r']]",grihodʒud̪d̪ʱer
শেরপুরে,"[10, 5, 2, 15, 14, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'e', 'r'], ['p', 'u'], ['r', 'e']]",ʃerpure
নিখোঁজের,"[6, 4, 24, 3, 18, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['n', 'i'], ['kʰ', 'o'], ['dʒ', 'e', 'r']]",nikʰodʒer
