word1,word2,label
কনফ্লিক্ট,বেনেডিক্ট,1
ডিসট্রিক্ট,কনফ্লিক্ট,1
ডিসট্রিক্ট,বেনেডিক্ট,1
অপারেশনস,কমিউনিকেশন্স,1
কমিউনিকেশনস,কমিউনিকেশন্স,1
কমিউনিকেশন্স,কমন্স,1
মর্টগেজ,চেজ,1
ড্রেনেজ,ম্যারেজ,1
কভারেজ,মার্কেজ,1
লোপেজ,ব্যান্ডেজ,1
বেভারেজ,আলভেজ,1
টিনেজ,ব্যান্ডেজ,1
ডাকটিকিট,শীট,1
স্পোর্ট,কমফোর্ট,1
আযাদ,দুঃসংবাদ,1
বাদানুবাদ,জল্লাদ,1
ভ্লাদ,উগ্রবাদ,1
কনট্যাক্ট,ইমপ্যাক্ট,1
কনট্যাক্ট,ফ্যাক্ট,1
ফ্যাক্ট,ইমপ্যাক্ট,1
কম্প্যাক্ট,ফ্যাক্ট,1
কমপ্যাক্ট,কনট্যাক্ট,1
কন্টাক্ট,কম্প্যাক্ট,1
কম্প্যাক্ট,ইমপ্যাক্ট,1
কমপ্যাক্ট,ফ্যাক্ট,1
কমপ্যাক্ট,কন্টাক্ট,1
রম,মেকানিজম,1
লোকসমাগম,অর্গাজম,1
নভেলিস্ট,বেইজিস্ট,1
টুরিস্ট,সোশ্যালিস্ট,1
ইমারজেন্সি,আইছি,1
রেসিডেন্সি,সিএসসি,1
ফেরদৌসি,বিজেএমসি,1
আরসিসি,আব্বাসী,1
পেপসি,রেসিডেন্সি,1
আলেহান্দ্রো,তথ্যকেন্দ্র,1
পেদ্রো,চান্দ্র,1
রৌদ্র,প্রেমেন্দ্র,1
অতন্দ্র,ধর্মেন্দ্র,1
তোবা,সম্ভবা,1
গ্রীবা,জনসেবা,1
চৌকাঠে,ফাঁসিকাষ্ঠে,1
মিঠে,ফাঁসিকাষ্ঠে,1
জনকণ্ঠে,কাছেপিঠে,1
পৃষ্ঠে,উচ্চকণ্ঠে,1
মঠে,ভূপৃষ্ঠে,1
প্রকোষ্ঠে,ভূপৃষ্ঠে,1
কাঠে,উচ্চকণ্ঠে,1
পাঠে,আষ্টেপৃষ্ঠে,1
চৌকাঠে,কাছেপিঠে,1
অযোধ্যা,গৎবাঁধা,1
গৎবাঁধা,অভিধা,1
স্নিগ্ধা,গোলকধাঁধা,1
সুধা,বন্ধ্যা,1
সুধা,গোলকধাঁধা,1
ট্রামে,হামে,1
সিকিমে,আমস্টারডামে,1
স্টকহোমে,সম্মতিক্রমে,1
চিত্রকর্মে,থিমে,1
থমথমে,টেলিফিল্মে,1
পাঠ্যক্রমে,প্রজন্মে,1
জীবনচক্র,ম্যাক্রো,1
ম্যাক্রো,একটুকরো,1
দবিরুল,আজমপুর,0
শিকারপুর,পরুন,0
আশরাফুল,দারূণ,0
গমনেচ্ছু,হাটু,0
বর্ধিষ্ণু,পুরুষ,0
শুকুর,শামসুন,0
লতিফুল,যিশু,0
মাছিমপুর,রবিউল,0
পরুন,রাতারগুল,0
একবিন্দু,ঊরুর,0
সাবিকুন,প্যারামাউন্ট,0
ভারুন,মিজু,0
ইজারুল,স্বর্ণযুগ,0
সেটুকু,ছেরুর,0
পাপ্পুর,ফলমূল,0
শামসু,একটুর,0
লুক,সিরাজুম,0
মধু,মিরাজুল,0
সাজ্জাদুল,নিবু,0
ভাসুর,ডিম্বাণু,0
রঘু,কাজু,0
ভুলু,সম্মানটুকু,0
টেম্পু,অংশটুকু,0
ভুরু,হরিণাকুণ্ডু,0
টিংকু,ধূমকেতু,0
বাবু,ভেঁপু,0
সুধাংশু,চামু,0
মাঝামাঝি,সন্ত্রাসবাদের,0
অহংকারী,উপকারে,0
মোহাম্মদের,অরবিন্দ,0
উত্তোলনের,প্রদানকারী,0
অগ্নিকাণ্ডে,সমস্যাটা,0
