id,word1,word2,ipa1,ipa2,rime1,rime2,subset,predicted_label,label_corrected,reviewed,notes
rhyme_00000,ক্ষেত্রটি,পর্বটি,kʰet̪roʈi,pɔrboʈi,i,i,pos,1,,,
rhyme_00001,আব্রাহামের,দৃশ্যের,abrahamer,d̪riʃʃer,er,er,pos,1,,,
rhyme_00002,নিষ্ঠুরতা,ব্যাটা,niʃʈʰurɔt̪a,bæʈa,a,a,pos,1,,,
rhyme_00003,উপাদানে,মানবদেহে,upad̪ane,manobd̪ehe,e,e,pos,1,,,
rhyme_00004,কৃষিক্ষেত্রে,ভিত্তিতে,kriʃikʰet̪re,bʱit̪t̪it̪e,e,e,pos,1,,,
rhyme_00005,বেলি,যেটি,beli,dʒeʈi,i,i,pos,1,,,
rhyme_00006,নারে,সুযোগে,nare,ʃudʒoge,e,e,pos,1,,,
rhyme_00007,পাকাপোক্ত,রহ,pakapokt̪o,rɔho,o,o,pos,1,,,
rhyme_00008,খেলছিল,স্তব্ধ,kʰeltʃʰilo,st̪ɔbd̪ʱo,o,o,pos,1,,,
rhyme_00009,নাওমি,সুবিধাভোগী,nao̯mi,ʃubid̪ʱabʱogi,i,i,pos,1,,,
rhyme_00010,উর্ধ্বতন,তরান্বিত,urd̪ʱot̪ɔno,t̪ɔrannit̪o,o,o,pos,1,,,
rhyme_00011,বেচে,শুধরে,betʃe,ʃud̪ʱre,e,e,pos,1,,,
rhyme_00012,পোস্টারে,সর্বক্ষেত্রে,posʈare,ʃɔrbokʰet̪re,e,e,pos,1,,,
rhyme_00013,এখনো,প্লাবিত,ækʰono,plabit̪o,o,o,pos,1,,,
rhyme_00014,দরবারের,পেশাদারিত্বের,d̪ɔrbarer,peʃad̪arit̪t̪er,er,er,pos,1,,,
rhyme_00015,অবতার,কাকার,ɔbot̪ar,kakar,ar,ar,pos,1,,,
rhyme_00016,ক্যাটরিনা,বিক্রেতারা,kæʈrina,bikret̪ara,a,a,pos,1,,,
rhyme_00017,তামা,নির্ভরতা,t̪ama,nirbʱɔrot̪a,a,a,pos,1,,,
rhyme_00018,পাইনি,সভানেত্রী,pai̯ni,ʃɔbʱanet̪ri,i,i,pos,1,,,
rhyme_00019,খলিলুর,নূপুর,kʰolilur,nupur,ur,ur,pos,1,,,
rhyme_00020,ত্যাগের,বৈঠকের,t̪æger,boi̯ʈʰɔker,er,er,pos,1,,,
rhyme_00021,দোষে,পার্থক্যকে,d̪oʃe,part̪ʰokkoke,e,e,pos,1,,,
rhyme_00022,শুনার,সেবার,ʃunar,ʃebar,ar,ar,pos,1,,,
rhyme_00023,করেছো,মৎস্য,koretʃʰo,mɔt̪ʃo,o,o,pos,1,,,
rhyme_00024,গুপ্তের,গ্রুপের,gupt̪er,gruper,er,er,pos,1,,,
rhyme_00025,গ্রামটি,বিষয়শ্রেণী,gramʈi,biʃoe̯sreni,i,i,pos,1,,,
rhyme_00026,আভা,ভাষা,abʱa,bʱaʃa,a,a,pos,1,,,
rhyme_00027,একজনকে,মরেছে,ækdʒonke,moretʃʰe,e,e,pos,1,,,
rhyme_00028,আত্মগোপনে,তাকাচ্ছে,at̪t̪ogopone,t̪akatʃtʃʰe,e,e,pos,1,,,
rhyme_00029,করিনি,খুবই,korini,kʰubi,i,i,pos,1,,,
rhyme_00030,অভিধানে,পাসপোর্টে,ɔbʱid̪ʱane,pasporʈe,e,e,pos,1,,,
rhyme_00031,উত্থানে,মানুষদেরকে,ut̪t̪ʰane,manuʃd̪erke,e,e,pos,1,,,
rhyme_00032,বনের,বন্দরের,bɔner,bɔnd̪ɔrer,er,er,pos,1,,,
rhyme_00033,গুনে,হৃদরোগে,gune,hrid̪roge,e,e,pos,1,,,
rhyme_00034,গ্রহণের,মৃত্যুদন্ডের,grohoner,mrit̪t̪ud̪ɔnɖer,er,er,pos,1,,,
rhyme_00035,আসরের,নেতাদের,aʃorer,net̪ad̪er,er,er,pos,1,,,
rhyme_00036,অনেকে,মনিটরে,ɔneke,moniʈɔre,e,e,pos,1,,,
rhyme_00037,কর্মসংস্থান,সোবহান,kɔrmoʃɔŋst̪ʰan,sobhan,an,an,pos,1,,,
rhyme_00038,ঋণের,মোটরসাইকেলের,riner,moʈorsai̯keler,er,er,pos,1,,,
rhyme_00039,দানা,বর্বরতা,d̪ana,bɔrbɔrot̪a,a,a,pos,1,,,
rhyme_00040,তথ্যমতে,মধ্যখানে,t̪ot̪t̪ʰomɔt̪e,mod̪d̪ʱokʰane,e,e,pos,1,,,
rhyme_00041,নিম্নে,ভাগ্যকে,nimne,bʱaggoke,e,e,pos,1,,,
rhyme_00042,তুলা,প্রথিতযশা,t̪ula,prot̪ʰit̪odʒɔʃa,a,a,pos,1,,,
rhyme_00043,ধারাভাষ্য,বৈধ,d̪ʱarabʱaʃʃo,boi̯d̪ʱo,o,o,pos,1,,,
rhyme_00044,জলপথে,শহুরে,dʒɔlpɔt̪ʰe,ʃohure,e,e,pos,1,,,
rhyme_00045,ফখরুলের,স্বাক্ষরের,fɔkʰruler,ʃakkʰorer,er,er,pos,1,,,
rhyme_00046,তল্লাশী,প্রাইভেসি,t̪ɔllaʃi,prai̯bʱesi,i,i,pos,1,,,
rhyme_00047,ঝামেলার,বরগুনার,dʒʱamelar,bɔrgunar,ar,ar,pos,1,,,
rhyme_00048,কমের,মাহমুদের,kɔmer,mahmud̪er,er,er,pos,1,,,
rhyme_00049,করাসহ,বাধাগ্রস্ত,kɔraʃɔho,bad̪ʱagrost̪o,o,o,pos,1,,,
rhyme_00050,এমনিতে,সরাতে,emnit̪e,ʃɔrat̪e,e,e,pos,1,,,
rhyme_00051,ফেসবুকের,মোদের,fesbuker,mod̪er,er,er,pos,1,,,
rhyme_00052,গতিকে,পরীক্ষাগারে,got̪ike,porikkʰagare,e,e,pos,1,,,
rhyme_00053,আগ্রাসী,ধর্মী,agraʃi,d̪ʱormi,i,i,pos,1,,,
rhyme_00054,খদ্দের,সংযোজনের,kʰɔd̪d̪er,ʃɔŋdʒodʒɔner,er,er,pos,1,,,
rhyme_00055,গিয়ার,সাক্ষাত্কার,giar,ʃakkʰat̪kar,ar,ar,pos,1,,,
rhyme_00056,আদর্শে,সইছে,ad̪orʃe,ʃoi̯tʃʰe,e,e,pos,1,,,
rhyme_00057,নেটে,সম্পূর্ণভাবে,neʈe,ʃɔmpurnobʱabe,e,e,pos,1,,,
rhyme_00058,তবে,যেগুলোকে,t̪ɔbe,dʒeguloke,e,e,pos,1,,,
rhyme_00059,কৌটা,টাকাটা,koo̯ʈa,ʈakaʈa,a,a,pos,1,,,
rhyme_00060,তাচ্ছিল্য,নৃত্যরত,t̪atʃtʃʰillo,nrit̪t̪orɔt̪o,o,o,pos,1,,,
rhyme_00061,ক্রুজের,চিত্রকর্মের,krudʒer,tʃit̪rokɔrmer,er,er,pos,1,,,
rhyme_00062,খোন্দকার,পরিস্কার,kʰond̪okar,poriʃkar,ar,ar,pos,1,,,
rhyme_00063,ক্যাপ্টেনের,ক্যাম্পাসের,kæpʈener,kæmpaser,er,er,pos,1,,,
rhyme_00064,জ্বালানী,বিজ্ঞাপনী,dʒalani,biggaponi,i,i,pos,1,,,
rhyme_00065,পূর্ব,লোহিত,purbo,lohit̪o,o,o,pos,1,,,
rhyme_00066,ছিদ্র,শিল্প,tʃʰid̪ro,ʃilpo,o,o,pos,1,,,
rhyme_00067,নামও,নিতো,namo,nit̪o,o,o,pos,1,,,
rhyme_00068,বর্গকিলোমিটার,সালফার,bɔrgokilomiʈar,salfar,ar,ar,pos,1,,,
rhyme_00069,চাঁদাবাজি,ফোনটি,tʃad̪abadʒi,fonʈi,i,i,pos,1,,,
rhyme_00070,অংশগ্রহনের,সুনামগঞ্জের,ɔŋʃogrohoner,ʃunamgɔndʒer,er,er,pos,1,,,
rhyme_00071,বিদীর্ণ,সংস্থাগুলো,bid̪irno,ʃɔŋst̪ʰagulo,o,o,pos,1,,,
rhyme_00072,স্বর্গে,হাতিকে,ʃɔrge,hat̪ike,e,e,pos,1,,,
rhyme_00073,ওঠার,হবার,oʈʰar,hɔbar,ar,ar,pos,1,,,
rhyme_00074,ধরতে,প্রধানকে,d̪ʱort̪e,prod̪ʱanke,e,e,pos,1,,,
rhyme_00075,দ্বীপটিতে,মুক্তিতে,d̪ipʈit̪e,mukt̪it̪e,e,e,pos,1,,,
rhyme_00076,গ্রাহককে,দ্বীপকে,grahokke,d̪ipke,e,e,pos,1,,,
rhyme_00077,সংবাদে,সন্তানদেরকে,ʃɔŋbad̪e,ʃɔnt̪and̪erke,e,e,pos,1,,,
rhyme_00078,দোস্ত,দৌড়ানো,d̪ost̪o,d̪ou̯rano,o,o,pos,1,,,
rhyme_00079,দুটা,নায়িকা,d̪uʈa,naika,a,a,pos,1,,,
rhyme_00080,ইস্তফা,ব্যর্থতা,ist̪ofa,bært̪ʰot̪a,a,a,pos,1,,,
rhyme_00081,কমার,কাইজার,kɔmar,kai̯dʒar,ar,ar,pos,1,,,
rhyme_00082,কান্তি,নিরামিষভোজী,kant̪i,niramiʃbʱodʒi,i,i,pos,1,,,
rhyme_00083,কীর্তি,জাবি,kirt̪i,dʒabi,i,i,pos,1,,,
rhyme_00084,বেচা,মালটা,betʃa,malʈa,a,a,pos,1,,,
rhyme_00085,দিনাজপুরের,ভাইরাসের,d̪inadʒpurer,bʱai̯raser,er,er,pos,1,,,
rhyme_00086,বুধবারে,বোম্বে,bud̪ʱbare,bombe,e,e,pos,1,,,
rhyme_00087,আপনজনের,শহীদদের,apondʒɔner,ʃohid̪d̪er,er,er,pos,1,,,
rhyme_00088,আগলে,শিখতে,agle,ʃikʰt̪e,e,e,pos,1,,,
rhyme_00089,সুরেলা,স্বার্থপরতা,ʃurela,ʃart̪ʰopɔrot̪a,a,a,pos,1,,,
rhyme_00090,শেষের,হিউজের,ʃeʃer,hiudʒer,er,er,pos,1,,,
