word1,word2,label
কমিউনিকেশনস,কমিউনিকেশন্স,1
কমিউনিকেশন্স,কমন্স,1
কমিউনিকেশনস,কমন্স,1
লাগেজ,ওয়েবপেজ,1
বেভারেজ,আলভেজ,1
খেত,অনিকেত,1
প্রেত,অনিকেত,1
নীলক্ষেত,অনিকেত,1
খিলক্ষেত,অনভিপ্রেত,1
বেলায়েত,বিলেত,1
বেলায়েত,খিলক্ষেত,1
অশনিসংকেত,ধানখেত,1
অশনিসংকেত,আহমেত,1
নীলক্ষেত,বেত,1
শিট,লিমিট,1
পিট,ভিজিট,1
মাঝমাঠ,সহপাঠ,1
মাঠ,পাঠ,1
পত্রপাঠ,মধ্যমাঠ,1
পত্রপাঠ,মাঝমাঠ,1
মধ্যমাঠ,সহপাঠ,1
কাঠ,মাঠ,1
হাইব্রিড,মিড,1
রিভারসাইড,বিড,1
কিড,সলিড,1
বরবাদ,আওলাদ,1
রোস্তম,প্রজননক্ষম,1
চমচম,রুস্তম,1
আজম,গম,1
অটিজম,মহরম,1
পালনীয়,কাহিনীও,1
মাননীয়,তিনিও,1
শীর্ষস্থানীয়,তিনিও,1
বাহিনীও,পালনীয়,1
কিনল,আনলো,1
কেসি,এসএমসি,1
এলওসি,আরসি,1
আইএফআইসি,কেসি,1
অন্যকিছু,পিছু,1
বেশকিছু,পিছু,1
সবকিছু,কিচ্ছু,1
কোনকিছু,পিছু,1
বিচ্ছু,অল্পকিছু,1
বিচ্ছু,এতকিছু,1
জনকণ্ঠে,কাছেপিঠে,1
মিঠে,জনকণ্ঠে,1
কাঠে,উচ্চকণ্ঠে,1
সুধা,সমাধা,1
হোমে,বিএমএ,1
চিত্রকর্মে,থিমে,1
মর্মে,গণমাধ্যমে,1
শুক্র,জীবনচক্র,1
শুক্র,পাঠচক্র,1
টাপুর,রুস,0
গমনেচ্ছু,হাটু,0
মাছিমপুর,রবিউল,0
আইটিউনস,অহিদুল,0
বহরমপুর,ফুড,0
যতদুর,রহিদুল,0
তবু,কিচ্ছু,0
অপু,সংখ্যাগুরু,0
উপন্যাসে,প্রশ্নগুলো,0
গভীরতা,অন্যভাবে,0
প্রত্যাবর্তন,মুক্তভাবে,0
দীর্ঘতম,মধ্যরাতে,0
এগুলোতে,গোলাগুলির,0
নাশকতা,একেবারেই,0
কোনভাবে,অগ্রযাত্রা,0
শহরটিতে,বিবেচনা,0
লিখেছিলাম,একেবারেই,0
প্রধানত,উপন্যাসে,0
সম্পাদকীয়,নিবন্ধনের,0
পবিত্রতা,প্রতিষ্ঠানটি,0
আজারবাইজান,কোনরকম,0
আজারবাইজান,এককভাবে,0
তিউনিসিয়ার,লেবাননের,0
গবেষকদের,উপদেষ্টা,0
অবনমন,অসুবিধা,0
প্রশাসনে,হয়েছিলো,0
সাংগঠনিক,নিরাপত্তা,0
