word,tokenizer,tokens,n_tokens,n_boundaries,gtad,gtad_byte,gtad_matra,gtad_conjunct,stad,rho,m_aksharas,n_phonemes,aligner_ok,quarantined
না,llama3,ন|া,2,1,1.0,0,1,0,,0.0,1,2,True,False
না,gpt2,\xe0\xa6|\xa8|\xe0\xa6|\xbe,4,3,1.0,2,1,0,,0.0,1,2,True,False
না,byt5,\xe0|\xa6|\xa8|\xe0|\xa6|\xbe,6,5,1.0,4,1,0,,0.0,1,2,True,False
না,tigerllm,না,1,0,0.0,0,0,0,,0.0,1,2,True,False
না,banglat5,না,1,0,0.0,0,0,0,,0.0,1,2,True,False
করে,llama3,\xe0\xa6|\x95|র|ে,4,3,0.666667,1,1,0,0.0,0.0,2,4,True,False
করে,gpt2,\xe0\xa6|\x95|\xe0\xa6|\xb0|\xe0|\xa7|\x87,7,6,0.833333,4,1,0,0.0,0.0,2,4,True,False
করে,byt5,\xe0|\xa6|\x95|\xe0|\xa6|\xb0|\xe0|\xa7|\x87,9,8,0.875,6,1,0,0.0,0.0,2,4,True,False
করে,tigerllm,করে,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
করে,banglat5,করে,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
এবং,llama3,\xe0\xa6|\x8f|\xe0\xa6|\xac|\xe0\xa6|\x82,6,5,0.8,3,1,0,0.0,0.0,2,4,True,False
এবং,gpt2,\xe0\xa6|\x8f|\xe0\xa6|\xac|\xe0\xa6|\x82,6,5,0.8,3,1,0,0.0,0.0,2,4,True,False
এবং,byt5,\xe0|\xa6|\x8f|\xe0|\xa6|\xac|\xe0|\xa6|\x82,9,8,0.875,6,1,0,0.0,0.0,2,4,True,False
এবং,tigerllm,এবং,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
এবং,banglat5,এবং,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
ও,llama3,\xe0\xa6|\x93,2,1,1.0,1,0,0,,0.0,1,1,True,False
ও,gpt2,\xe0\xa6|\x93,2,1,1.0,1,0,0,,0.0,1,1,True,False
ও,byt5,\xe0|\xa6|\x93,3,2,1.0,2,0,0,,0.0,1,1,True,False
ও,tigerllm,ও,1,0,0.0,0,0,0,,0.0,1,1,True,False
ও,banglat5,ও,1,0,0.0,0,0,0,,0.0,1,1,True,False
থেকে,llama3,\xe0\xa6|\xa5|ে|\xe0\xa6|\x95|ে,6,5,0.8,2,2,0,0.0,0.0,2,4,True,False
থেকে,gpt2,\xe0\xa6|\xa5|\xe0|\xa7|\x87|\xe0\xa6|\x95|\xe0|\xa7|\x87,10,9,0.888889,6,2,0,0.0,0.0,2,4,True,False
থেকে,byt5,\xe0|\xa6|\xa5|\xe0|\xa7|\x87|\xe0|\xa6|\x95|\xe0|\xa7|\x87,12,11,0.909091,8,2,0,0.0,0.0,2,4,True,False
থেকে,tigerllm,থেকে,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
থেকে,banglat5,থেকে,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
আর,llama3,\xe0\xa6|\x86|র,3,2,0.5,1,0,0,1.0,0.0,2,2,True,False
আর,gpt2,\xe0\xa6|\x86|\xe0\xa6|\xb0,4,3,0.666667,2,0,0,1.0,0.0,2,2,True,False
আর,byt5,\xe0|\xa6|\x86|\xe0|\xa6|\xb0,6,5,0.8,4,0,0,1.0,0.0,2,2,True,False
আর,tigerllm,আর,1,0,0.0,0,0,0,0.0,0.0,2,2,True,False
আর,banglat5,আর,1,0,0.0,0,0,0,0.0,0.0,2,2,True,False
জন্য,llama3,\xe0\xa6|\x9c|ন|্\xe0\xa6|\xaf,5,4,0.75,2,0,1,1.0,1.0,2,5,True,False
জন্য,gpt2,\xe0\xa6|\x9c|\xe0\xa6|\xa8|\xe0|\xa7|\x8d|\xe0\xa6|\xaf,9,8,0.875,5,0,2,1.0,1.0,2,5,True,False
জন্য,byt5,\xe0|\xa6|\x9c|\xe0|\xa6|\xa8|\xe0|\xa7|\x8d|\xe0|\xa6|\xaf,12,11,0.909091,8,0,2,1.0,1.0,2,5,True,False
জন্য,tigerllm,জন্য,1,0,0.0,0,0,0,0.0,1.0,2,5,True,False
জন্য,banglat5,জন্য,1,0,0.0,0,0,0,0.0,1.0,2,5,True,False
তার,llama3,\xe0\xa6|\xa4|া\xe0\xa6|\xb0,4,3,1.0,2,1,0,0.0,0.0,2,3,True,False
তার,gpt2,\xe0\xa6|\xa4|\xe0\xa6|\xbe|\xe0\xa6|\xb0,6,5,0.8,3,1,0,1.0,0.0,2,3,True,False
তার,byt5,\xe0|\xa6|\xa4|\xe0|\xa6|\xbe|\xe0|\xa6|\xb0,9,8,0.875,6,1,0,1.0,0.0,2,3,True,False
তার,tigerllm,তার,1,0,0.0,0,0,0,0.0,0.0,2,3,True,False
তার,banglat5,তার,1,0,0.0,0,0,0,0.0,0.0,2,3,True,False
হয়,llama3,\xe0\xa6|\xb9|\xe0\xa6|\xaf|\xe0\xa6|\xbc,6,5,0.6,3,0,0,1.0,0.0,3,2,True,False
হয়,gpt2,\xe0\xa6|\xb9|\xe0\xa6|\xaf|\xe0\xa6|\xbc,6,5,0.6,3,0,0,1.0,0.0,3,2,True,False
হয়,byt5,\xe0|\xa6|\xb9|\xe0|\xa6|\xaf|\xe0|\xa6|\xbc,9,8,0.75,6,0,0,1.0,0.0,3,2,True,False
হয়,tigerllm,হয়,1,0,0.0,0,0,0,0.0,0.0,3,2,True,False
হয়,banglat5,হয়,1,0,0.0,0,0,0,0.0,0.0,3,2,True,False
করা,llama3,\xe0\xa6|\x95|র|া,4,3,0.666667,1,1,0,0.0,0.0,2,4,True,False
করা,gpt2,\xe0\xa6|\x95|\xe0\xa6|\xb0|\xe0\xa6|\xbe,6,5,0.8,3,1,0,0.0,0.0,2,4,True,False
করা,byt5,\xe0|\xa6|\x95|\xe0|\xa6|\xb0|\xe0|\xa6|\xbe,9,8,0.875,6,1,0,0.0,0.0,2,4,True,False
করা,tigerllm,করা,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
করা,banglat5,করা,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
এর,llama3,\xe0\xa6|\x8f|র,3,2,0.5,1,0,0,1.0,0.0,2,2,True,False
এর,gpt2,\xe0\xa6|\x8f|\xe0\xa6|\xb0,4,3,0.666667,2,0,0,1.0,0.0,2,2,True,False
এর,byt5,\xe0|\xa6|\x8f|\xe0|\xa6|\xb0,6,5,0.8,4,0,0,1.0,0.0,2,2,True,False
এর,tigerllm,এর,1,0,0.0,0,0,0,0.0,0.0,2,2,True,False
এর,banglat5,এর,1,0,0.0,0,0,0,0.0,0.0,2,2,True,False
একটি,llama3,\xe0\xa6|\x8f|\xe0\xa6|\x95|\xe0\xa6|\x9f|ি,7,6,0.666667,3,1,0,0.5,0.0,3,4,True,False
একটি,gpt2,\xe0\xa6|\x8f|\xe0\xa6|\x95|\xe0\xa6|\x9f|\xe0\xa6|\xbf,8,7,0.714286,4,1,0,0.5,0.0,3,4,True,False
একটি,byt5,\xe0|\xa6|\x8f|\xe0|\xa6|\x95|\xe0|\xa6|\x9f|\xe0|\xa6|\xbf,12,11,0.818182,8,1,0,0.5,0.0,3,4,True,False
একটি,tigerllm,একটি,1,0,0.0,0,0,0,0.5,0.0,3,4,True,False
একটি,banglat5,একটি,1,0,0.0,0,0,0,0.5,0.0,3,4,True,False
যে,llama3,\xe0\xa6|\xaf|ে,3,2,1.0,1,1,0,,0.0,1,2,True,False
যে,gpt2,\xe0\xa6|\xaf|\xe0|\xa7|\x87,5,4,1.0,3,1,0,,0.0,1,2,True,False
যে,byt5,\xe0|\xa6|\xaf|\xe0|\xa7|\x87,6,5,1.0,4,1,0,,0.0,1,2,True,False
যে,tigerllm,যে,1,0,0.0,0,0,0,,0.0,1,2,True,False
যে,banglat5,যে,1,0,0.0,0,0,0,,0.0,1,2,True,False
আমি,llama3,\xe0\xa6|\x86|\xe0\xa6|\xae|ি,5,4,0.75,2,1,0,0.0,0.0,2,3,True,False
আমি,gpt2,\xe0\xa6|\x86|\xe0\xa6|\xae|\xe0\xa6|\xbf,6,5,0.8,3,1,0,0.0,0.0,2,3,True,False
আমি,byt5,\xe0|\xa6|\x86|\xe0|\xa6|\xae|\xe0|\xa6|\xbf,9,8,0.875,6,1,0,0.0,0.0,2,3,True,False
আমি,tigerllm,আমি,1,0,0.0,0,0,0,1.0,0.0,2,3,True,False
আমি,banglat5,আমি,1,0,0.0,0,0,0,1.0,0.0,2,3,True,False
করতে,llama3,\xe0\xa6|\x95|র|\xe0\xa6|\xa4|ে,6,5,0.6,2,1,0,0.5,0.0,3,5,True,False
করতে,gpt2,\xe0\xa6|\x95|\xe0\xa6|\xb0|\xe0\xa6|\xa4|\xe0|\xa7|\x87,9,8,0.75,5,1,0,0.5,0.0,3,5,True,False
করতে,byt5,\xe0|\xa6|\x95|\xe0|\xa6|\xb0|\xe0|\xa6|\xa4|\xe0|\xa7|\x87,12,11,0.818182,8,1,0,0.5,0.0,3,5,True,False
করতে,tigerllm,কর|তে,2,1,0.0,0,0,0,0.0,0.0,3,5,True,False
করতে,banglat5,করতে,1,0,0.0,0,0,0,0.5,0.0,3,5,True,False
হবে,llama3,\xe0\xa6|\xb9|\xe0\xa6|\xac|ে,5,4,0.75,2,1,0,0.0,0.0,2,4,True,False
হবে,gpt2,\xe0\xa6|\xb9|\xe0\xa6|\xac|\xe0|\xa7|\x87,7,6,0.833333,4,1,0,0.0,0.0,2,4,True,False
হবে,byt5,\xe0|\xa6|\xb9|\xe0|\xa6|\xac|\xe0|\xa7|\x87,9,8,0.875,6,1,0,0.0,0.0,2,4,True,False
হবে,tigerllm,হ|বে,2,1,0.0,0,0,0,0.0,0.0,2,4,True,False
হবে,banglat5,হবে,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
এ,llama3,\xe0\xa6|\x8f,2,1,1.0,1,0,0,,0.0,1,1,True,False
এ,gpt2,\xe0\xa6|\x8f,2,1,1.0,1,0,0,,0.0,1,1,True,False
এ,byt5,\xe0|\xa6|\x8f,3,2,1.0,2,0,0,,0.0,1,1,True,False
এ,tigerllm,এ,1,0,0.0,0,0,0,,0.0,1,1,True,False
এ,banglat5,এ,1,0,0.0,0,0,0,,0.0,1,1,True,False
সাথে,llama3,\xe0\xa6|\xb8|া\xe0\xa6|\xa5|ে,5,4,1.0,2,2,0,1.0,0.0,2,4,True,False
সাথে,gpt2,\xe0\xa6|\xb8|\xe0\xa6|\xbe|\xe0\xa6|\xa5|\xe0|\xa7|\x87,9,8,0.875,5,2,0,0.0,0.0,2,4,True,False
সাথে,byt5,\xe0|\xa6|\xb8|\xe0|\xa6|\xbe|\xe0|\xa6|\xa5|\xe0|\xa7|\x87,12,11,0.909091,8,2,0,0.0,0.0,2,4,True,False
সাথে,tigerllm,সাথে,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
সাথে,banglat5,সাথে,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
আমার,llama3,\xe0\xa6|\x86|\xe0\xa6|\xae|া\xe0\xa6|\xb0,6,5,0.8,3,1,0,0.0,0.0,3,4,True,False
আমার,gpt2,\xe0\xa6|\x86|\xe0\xa6|\xae|\xe0\xa6|\xbe|\xe0\xa6|\xb0,8,7,0.714286,4,1,0,0.5,0.0,3,4,True,False
আমার,byt5,\xe0|\xa6|\x86|\xe0|\xa6|\xae|\xe0|\xa6|\xbe|\xe0|\xa6|\xb0,12,11,0.818182,8,1,0,0.5,0.0,3,4,True,False
আমার,tigerllm,আমার,1,0,0.0,0,0,0,0.5,0.0,3,4,True,False
আমার,banglat5,আমার,1,0,0.0,0,0,0,0.5,0.0,3,4,True,False
কি,llama3,\xe0\xa6|\x95|ি,3,2,1.0,1,1,0,,0.0,1,2,True,False
কি,gpt2,\xe0\xa6|\x95|\xe0\xa6|\xbf,4,3,1.0,2,1,0,,0.0,1,2,True,False
কি,byt5,\xe0|\xa6|\x95|\xe0|\xa6|\xbf,6,5,1.0,4,1,0,,0.0,1,2,True,False
কি,tigerllm,কি,1,0,0.0,0,0,0,,0.0,1,2,True,False
কি,banglat5,কি,1,0,0.0,0,0,0,,0.0,1,2,True,False
তিনি,llama3,\xe0\xa6|\xa4|ি\xe0\xa6|\xa8|ি,5,4,1.0,2,2,0,1.0,0.0,2,4,True,False
তিনি,gpt2,\xe0\xa6|\xa4|\xe0\xa6|\xbf|\xe0\xa6|\xa8|\xe0\xa6|\xbf,8,7,0.857143,4,2,0,0.0,0.0,2,4,True,False
তিনি,byt5,\xe0|\xa6|\xa4|\xe0|\xa6|\xbf|\xe0|\xa6|\xa8|\xe0|\xa6|\xbf,12,11,0.909091,8,2,0,0.0,0.0,2,4,True,False
তিনি,tigerllm,তিনি,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
তিনি,banglat5,তিনি,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
এক,llama3,\xe0\xa6|\x8f|\xe0\xa6|\x95,4,3,0.666667,2,0,0,1.0,0.0,2,2,True,False
এক,gpt2,\xe0\xa6|\x8f|\xe0\xa6|\x95,4,3,0.666667,2,0,0,1.0,0.0,2,2,True,False
এক,byt5,\xe0|\xa6|\x8f|\xe0|\xa6|\x95,6,5,0.8,4,0,0,1.0,0.0,2,2,True,False
এক,tigerllm,এক,1,0,0.0,0,0,0,0.0,0.0,2,2,True,False
এক,banglat5,এক,1,0,0.0,0,0,0,0.0,0.0,2,2,True,False
কিছু,llama3,\xe0\xa6|\x95|ি\xe0\xa6|\x9b|\xe0\xa7|\x81,6,5,1.0,3,2,0,1.0,0.0,2,4,True,False
কিছু,gpt2,\xe0\xa6|\x95|\xe0\xa6|\xbf|\xe0\xa6|\x9b|\xe0|\xa7|\x81,9,8,0.875,5,2,0,0.0,0.0,2,4,True,False
কিছু,byt5,\xe0|\xa6|\x95|\xe0|\xa6|\xbf|\xe0|\xa6|\x9b|\xe0|\xa7|\x81,12,11,0.909091,8,2,0,0.0,0.0,2,4,True,False
কিছু,tigerllm,কিছু,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
কিছু,banglat5,কিছু,1,0,0.0,0,0,0,1.0,0.0,2,4,True,False
আমাদের,llama3,\xe0\xa6|\x86|\xe0\xa6|\xae|া\xe0\xa6|\xa6|ে|র,8,7,0.714286,3,2,0,0.666667,0.0,4,6,True,False
