word,phon_vec,syllables,ipa
করণের,"[7, 8, 2, 3, 6, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ'], ['r', 'o'], ['n', 'e', 'r']]",kɔroner
মোবারক,"[13, 3, 11, 1, 2, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'o'], ['b', 'a'], ['r', 'ɔ', 'k']]",mobarɔk
সকলে,"[10, 8, 7, 3, 12, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ'], ['k', 'o'], ['l', 'e']]",ʃɔkole
এসবই,"[5, 10, 8, 11, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e'], ['ʃ', 'ɔ'], ['b', 'i']]",eʃɔbi
আলোচনায়,"[1, 12, 3, 22, 3, 6, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['l', 'o'], ['tʃ', 'o'], ['n', 'ae̯']]",alotʃonae̯
এমনটা,"[29, 13, 3, 6, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['æ'], ['m', 'o', 'n'], ['ʈ', 'a']]",æmonʈa
কথা,"[7, 8, 30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ'], ['t̪ʰ', 'a']]",kɔt̪ʰa
ঘুমন্ত,"[34, 14, 13, 8, 6, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['gʱ', 'u'], ['m', 'ɔ', 'n'], ['t̪', 'o']]",gʱumɔnt̪o
দেশের,"[16, 5, 10, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'e'], ['ʃ', 'e', 'r']]",d̪eʃer
যেটাকে,"[18, 5, 17, 1, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'e'], ['ʈ', 'a'], ['k', 'e']]",dʒeʈake
দিকেই,"[16, 4, 7, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'i'], ['k', 'ei̯']]",d̪ikei̯
হাইব্রিড,"[21, 32, 11, 2, 4, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'ai̯'], ['b', 'r', 'i', 'ɖ']]",hai̯briɖ
মতই,"[13, 8, 9, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'ɔ'], ['t̪', 'oi̯']]",mɔt̪oi̯
স্টক,"[19, 17, 8, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'ʈ', 'ɔ', 'k']]",sʈɔk
