id,orth,aksharas,schwa_vector,schwa_environments,vector_corrected,reviewed,notes
schwa_00116,ভেলর,ভে ল র,1 0,medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00640,সেনজেন,সে ন জে ন,0 0,medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00236,বাক্সের,বা ক্সে র,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00722,গন্ধযুক্ত,গ ন্ধ যু ক্ত,1 1 1,medial conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00990,প্রবহমান,প্র ব হ মা ন,1 1 1 0,conjunct post_conjunct medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00102,ক্যাপটিভ,ক্যা প টি ভ,0 0,post_conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00566,উত্তমকুমারের,উ ত্ত ম কু মা রে র,1 0 0,conjunct post_conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00434,স্বাস্থ্যসম্মত,স্বা স্থ্য স ম্ম ত,1 1 1 1,post_conjunct post_conjunct conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00492,ছেলেটির,ছে লে টি র,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00146,ভাষ্যকারের,ভা ষ্য কা রে র,1 0,conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00506,প্রাচ্যনাটের,প্রা চ্য না টে র,1 0,post_conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00548,সাইডার,সা ই ডা র,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00752,এডউইন,এ ড উ ই ন,1 0,medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00148,রিকশাভ্যান,রি ক শা ভ্যা ন,0 0,medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00062,পোশাকশ্রমিকের,পো শা ক শ্র মি কে র,0 1 0,medial conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00560,কারাবন্দীদের,কা রা ব ন্দী দে র,1 0,medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00096,গৃহের,গৃ হে র,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00398,অর্থবছরের,অ র্থ ব ছ রে র,1 1 1 0,conjunct post_conjunct medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00578,গ্রন্থের,গ্র ন্থে র,1 0,conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00712,তল,ত ল,1 0,medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00428,নেইম,নে ই ম,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00390,পিগমেন্টেশন,পি গ মে ন্টে শ ন,0 1 0,medial post_conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00078,উগ্রবাদ,উ গ্র বা দ,1 0,conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00920,তাসের,তা সে র,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00250,প্রিন্সটন,প্রি ন্স ট ন,0 1 0,post_conjunct post_conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00330,তাত্ক্ষণিক,তা ত্ক্ষ ণি ক,1 0,conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00892,আটকের,আ ট কে র,1 0,medial final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00780,নির্মানের,নি র্মা নে র,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00710,প্রস্তাবনার,প্র স্তা ব না র,1 1 0,conjunct post_conjunct final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
schwa_00112,রিটেইল,রি টে ই ল,0,final,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
