word1,word2,label
অপারেশনস,কমন্স,1
কমিউনিকেশনস,কমন্স,1
হেরিটেজ,হাফেজ,1
পেরেজ,ম্যানেজ,1
পেরেজ,কটেজ,1
খেত,অনিকেত,1
প্রেত,অনিকেত,1
নীলক্ষেত,অনিকেত,1
অশনিসংকেত,ধানখেত,1
অশনিসংকেত,আহমেত,1
নীলক্ষেত,বেত,1
শিট,লিমিট,1
ইউনিট,টিকিট,1
ফ্লাইট,ডিলিট,1
ক্রেডিট,কমপ্লিট,1
পিট,ভিজিট,1
মেরিট,ট্রিট,1
সিট,ডিলিট,1
ফেবারিট,গিট,1
কিলোবাইট,সুপারহিট,1
হাইকোর্ট,পোর্ট,1
রিসোর্ট,ফোর্ট,1
সাপোর্ট,হাইকোর্ট,1
কোর্ট,রিপোর্ট,1
মাঝমাঠ,সহপাঠ,1
পত্রপাঠ,মধ্যমাঠ,1
পত্রপাঠ,মাঝমাঠ,1
কবিতাপাঠ,মধ্যমাঠ,1
মধ্যমাঠ,সহপাঠ,1
কবিতাপাঠ,মাঝমাঠ,1
কিউপিড,লিকুইড,1
হাইব্রিড,মিড,1
ডেভিড,গ্রিড,1
অ্যাসিড,ডেভিড,1
অ্যাসিড,গ্রিড,1
এসিড,ডেভিড,1
হাইব্রিড,স্পিড,1
রিভারসাইড,বিড,1
কিড,সলিড,1
বরবাদ,আওলাদ,1
অপবাদ,আজাদ,1
ফরিদাবাদ,আরশাদ,1
বিবাদ,ফরহাদ,1
অনুবাদ,মিলাদ,1
সাম্যবাদ,বিষাদ,1
রোস্তম,প্রজননক্ষম,1
মনোরম,সশ্রম,1
চমচম,রুস্তম,1
আজম,গম,1
মহররম,রেশম,1
অটিজম,মহরম,1
সুগম,কার্যক্ষম,1
চমচম,অরিন্দম,1
আলমন্ড,প্রাইজবন্ড,1
কিনল,আনলো,1
গ্যালাক্সি,সেক্সি,1
গ্যালাক্সি,ফার্সি,1
এলওসি,আরসি,1
আইএফআইসি,কেসি,1
অন্যকিছু,পিছু,1
বেশকিছু,মাথাপিছু,1
বেশকিছু,পিছু,1
মাথাপিছু,অন্যকিছু,1
বিচ্ছু,বেশিকিছু,1
সবকিছু,কিচ্ছু,1
কোনকিছু,পিছু,1
বিচ্ছু,অল্পকিছু,1
বিচ্ছু,এতকিছু,1
মাথাপিছু,কিছু,1
অতিদরিদ্র,ব্যবসাকেন্দ্র,1
রামচন্দ্র,চান্দ্র,1
ভাদ্র,অতন্দ্র,1
রাজেন্দ্র,সুরেন্দ্র,1
বরেন্দ্র,বঙ্কিমচন্দ্র,1
পর্যটনকেন্দ্র,বিনিদ্র,1
ডোবা,কখনোবা,1
কেউবা,কিম্বা,1
বাবা,নতুবা,1
ডোবা,সাহাবা,1
পরিসেবা,খুতবা,1
মিঠে,জনকণ্ঠে,1
মুক্তিযোদ্ধা,বৃদ্ধা,1
ধরাবাঁধা,অযোধ্যা,1
বাঁধা,ধাঁধা,1
মুক্তিযোদ্ধা,শ্রদ্ধা,1
সুধা,সমাধা,1
এরমধ্যেই,যুদ্ধেই,1
কাঁধেই,প্রথমার্ধেই,1
অনুরোধেই,বিরুদ্ধেই,1
মাঝেমধ্যেই,অনুরোধেই,1
অনুরোধেই,যুদ্ধেই,1
মাঝেমধ্যেই,বিরুদ্ধেই,1
এরমধ্যেই,অনুরোধেই,1
মাঝেমধ্যেই,যুদ্ধেই,1
এরমধ্যেই,বিরুদ্ধেই,1
ডাকল,শুক্ল,1
ঢুকলো,শুক্ল,1
ঢুকলো,ডাকল,1
হোমে,বিএমএ,1
গ্রামে,মৌসুমে,1
থেমে,যথাক্রমে,1
মর্মে,গণমাধ্যমে,1
শুক্র,জীবনচক্র,1
মাইক্রো,টুকরো,1
টুকরো,চক্র,1
জীবনচক্র,একটুকরো,1
শুক্র,পাঠচক্র,1
দেখুন,ইনু,0
হিন্দুর,মৃদুল,0
টাপুর,রুস,0
ঋজু,সোনু,0
রেণু,আনামুল,0
আরজু,আশেকুর,0
হাসুর,স্ট্যাচু,0
আজিজুল,ধূমকেতুর,0
এলবিডব্লুর,শুড,0
স্বরূপ,সম্মুখ,0
ইনু,মৃদু,0
বেকসুর,শকুন,0
আইটিউনস,অহিদুল,0
কাউন্ট,ফাস্টফুড,0
বাদুর,মিঠুন,0
তাজুল,নীতুর,0
দারুণ,শফিকুর,0
মুশফিকুর,ভিখু,0
কামরূপ,মনতাজুর,0
হিমুর,মাউস,0
কাঠমাণ্ডু,কুসুম,0
শফিকুল,শম্ভুর,0
বহরমপুর,ফুড,0
বেণু,চতুর,0
চক্ষু,হুবহু,0
কাবু,বিদ্যুত,0
যতদুর,রহিদুল,0
মিনুর,নিপুণ,0
শ্যাম্পু,মারুফ,0
বরুণ,সফিপুর,0
কুছ,বানু,0
সিমু,আধটু,0
স্বরূপ,আসফাকুস,0
বসুন,ফকরুল,0
কিসলু,দেবু,0
তালুর,গবাদিপশু,0
খসরু,শিমূল,0
শাহরুখ,কাকুর,0
ভাশুর,আমূল,0
আনুক,আমৃত্যু,0
বলিউড,সিরাজুল,0
মকসুদ,গাজীউল,0
লুপ,যুগ,0
ফুট,পুতুল,0
বেশিকিছু,দেখুন,0
অমানুষ,লালুর,0
হিন্দুর,ফুড,0
মাসুম,আধটু,0
সমুদ্দুর,গুড,0
তবু,কিচ্ছু,0
বাবু,বাকু,0
শত্রু,কচু,0
সিধু,কল্পতরু,0
মিতাপু,গোরু,0
শত্রু,কমলালেবু,0
কমলালেবু,বনদস্যু,0
অপু,সংখ্যাগুরু,0
টিপু,আবু,0
পপলু,টুলু,0
করমু,লাবলু,0
বসু,লিনু,0
বহু,নতজানু,0
হিমাংশু,আকলু,0
রংধনু,ততটুকু,0
মঞ্জু,ধূমকেতু,0
গাবলু,তেলেগু,0
সাধু,পিছু,0
মামু,লিনু,0
মজনু,কমলালেবু,0
পরাগরেণু,শিবলু,0
ভিখু,রঘু,0
যদু,বহু,0
উপন্যাসে,প্রশ্নগুলো,0
কোনোরকম,যুদ্ধক্ষেত্রে,0
সামঞ্জস্য,আসামীকে,0
পুরোপুরি,ডিসেম্বরের,0
সৃষ্টিকারী,শিরোনামের,0
ইহুদীদের,ছবিগুলো,0
উপভোগ্য,অফিসারদের,0
গভীরতা,অন্যভাবে,0
জেরুজালেম,উপজাতি,0
নীরবতার,সেপ্টেম্বরে,0
মোকাবিলা,একবিংশ,0
তুলেছিল,পদোন্নতি,0
প্রত্যাবর্তন,মুক্তভাবে,0
বাহিনীতে,পরীক্ষার্থী,0
লুকোচুরি,আত্মবিশ্বাস,0
একাত্তরের,অধিপতি,0
হেপাটাইটিস,রাগান্বিত,0
পার্লামেন্টের,ধারাবাহিক,0
দীর্ঘতম,মধ্যরাতে,0
এগুলোতে,গোলাগুলির,0
নাশকতা,একেবারেই,0
মন্ত্রিসভার,সন্ত্রাসীদের,0
প্রজাতন্ত্র,জবানবন্দি,0
তালিকাটি,সংবাদপত্রের,0
কোনভাবে,অগ্রযাত্রা,0
অনুশীলন,সাংবাদিকের,0
বহিষ্কৃত,নির্বাচনে,0
আন্দোলনকে,মহানগর,0
রেস্টুরেন্টে,সক্ষমতা,0
বিজ্ঞানীরা,ধ্বংসাবশেষ,0
পর্যবেক্ষন,প্রতিদ্বন্দ্বী,0
শহরটিতে,বিবেচনা,0
লুকোচুরি,সমমানের,0
আবেদনের,বন্ধুবান্ধব,0
প্রজাপতি,শান্তিপূর্ণ,0
লিখেছিলাম,একেবারেই,0
পিতামাতার,সংস্থাগুলোর,0
প্রধানত,উপন্যাসে,0
পবিত্রতা,প্রতিষ্ঠানটি,0
আজারবাইজান,কোনরকম,0
আজারবাইজান,এককভাবে,0
সম্মানিত,সংগঠনটি,0
গতকালের,গর্ভধারণ,0
রাসূলুল্লাহ,যাবজ্জীবন,0
সিদ্ধান্তকে,কেন্দ্রবিন্দু,0
গবেষকদের,উপদেষ্টা,0
অবনমন,অসুবিধা,0
আক্রান্তদের,নথিপত্র,0
নীতিমালার,পদপ্রার্থী,0
অগ্নিকাণ্ডের,বলেছিল,0
শহরটিতে,বিন্দুমাত্র,0
অবদানের,প্রতিষ্ঠাতা,0
প্রতিবন্ধী,প্রথমত,0
সর্বশ্রেষ্ঠ,অপারেশন,0
সন্ত্রাসীরা,অন্তর্বর্তী,0
পরিত্যাক্ত,অপারেটিং,0
সার্টিফিকেট,কতখানি,0
সাংগঠনিক,নিরাপত্তা,0
টুর্নামেন্টের,মধ্যবর্তী,0
বিরক্তিকর,অনুষ্ঠানে,0
প্রতিবন্ধী,সংবিধানে,0
শিক্ষার্থীরা,প্রেসিডেন্টের,0
