id,orth1,orth2,ipa1,ipa2,rime1,rime2,assonance_key1,assonance_key2,neg_type,predicted_label,freq_bucket1,freq_bucket2,label_corrected,reviewed,notes
rhyme3a_00000,কনফ্লিক্ট,বেনেডিক্ট,kɔnflikʈ,beneɖikʈ,ikʈ,ikʈ,i,i,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00001,ডিসট্রিক্ট,কনফ্লিক্ট,ɖisʈrikʈ,kɔnflikʈ,ikʈ,ikʈ,i,i,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00002,ডিসট্রিক্ট,বেনেডিক্ট,ɖisʈrikʈ,beneɖikʈ,ikʈ,ikʈ,i,i,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00003,অপারেশনস,কমিউনিকেশন্স,ɔpareʃons,komiu̯nikeʃons,ons,ons,o,o,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00004,কমিউনিকেশনস,কমিউনিকেশন্স,kɔmiu̯nikeʃons,komiu̯nikeʃons,ons,ons,o,o,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00005,অপারেশনস,কমন্স,ɔpareʃons,kɔmons,ons,ons,o,o,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00006,কমিউনিকেশন্স,কমন্স,komiu̯nikeʃons,kɔmons,ons,ons,o,o,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00007,কমিউনিকেশনস,কমন্স,kɔmiu̯nikeʃons,kɔmons,ons,ons,o,o,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00008,মর্টগেজ,চেজ,mɔrʈgedʒ,tʃedʒ,edʒ,edʒ,e,e,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00009,ড্রেনেজ,ম্যারেজ,ɖrenedʒ,mæredʒ,edʒ,edʒ,e,e,,1,mid,mid,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
rhyme3a_00010,হেরিটেজ,হাফেজ,heriʈedʒ,hafedʒ,edʒ,edʒ,e,e,,1,high,high,,TRUE,"bulk-approved by solo annotator, full manual read, no corrections"
