word,phon_vec,syllables,ipa
ছবিগুলো,"[31, 3, 11, 4, 20, 14, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'o'], ['b', 'i'], ['g', 'u'], ['l', 'o']]",tʃʰobigulo
রোজা,"[1, 3, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'o'], ['dʒ', 'a']]",rodʒa
রেলের,"[1, 5, 12, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['r', 'e'], ['l', 'e', 'r']]",reler
স্টর্ম,"[19, 16, 7, 1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'ʈ', 'ɔ', 'r', 'm']]",sʈɔrm
কোম্পানী,"[8, 3, 13, 15, 2, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'o', 'm'], ['p', 'a'], ['n', 'i']]",kompani
যাদের,"[18, 2, 17, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'a'], ['d̪', 'e', 'r']]",dʒad̪er
গোলক,"[20, 3, 12, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'o'], ['l', 'o', 'k']]",golok
মেহমান,"[13, 5, 21, 3, 13, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'e'], ['h', 'o'], ['m', 'a', 'n']]",mehoman
সংযোজন,"[19, 7, 29, 18, 3, 18, 7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 'ɔ', 'ŋ'], ['dʒ', 'o'], ['dʒ', 'ɔ', 'n']]",sɔŋdʒodʒɔn
কোহলি,"[8, 3, 21, 12, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'o', 'h'], ['l', 'i']]",kohli
এলিজাবেথ,"[5, 12, 4, 18, 2, 11, 5, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e'], ['l', 'i'], ['dʒ', 'a'], ['b', 'e', 't̪ʰ']]",elidʒabet̪ʰ
আলেম,"[2, 12, 5, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['a'], ['l', 'e', 'm']]",alem
বিএসসি,"[11, 4, 5, 19, 19, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['b', 'i'], ['e', 's'], ['s', 'i']]",biessi
গলার,"[20, 7, 12, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['g', 'ɔ'], ['l', 'a', 'r']]",gɔlar
সবকিছুই,"[9, 7, 11, 8, 4, 31, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'ɔ', 'b'], ['k', 'i'], ['tʃʰ', 'ui̯']]",ʃɔbkitʃʰui̯
অমিত,"[7, 13, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ɔ'], ['m', 'i', 't̪']]",ɔmit̪
এবং,"[5, 11, 3, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['e'], ['b', 'o', 'ŋ']]",eboŋ
মাইলফলক,"[13, 30, 12, 27, 7, 12, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['m', 'ai̯', 'l'], ['f', 'ɔ'], ['l', 'o', 'k']]",mai̯lfɔlok
অনুসন্ধানে,"[3, 6, 14, 9, 7, 6, 25, 2, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['o'], ['n', 'u'], ['ʃ', 'ɔ', 'n'], ['d̪ʱ', 'a'], ['n', 'e']]",onuʃɔnd̪ʱane
জানেন,"[18, 2, 6, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['dʒ', 'a'], ['n', 'e', 'n']]",dʒanen
হেফাজতের,"[21, 5, 27, 2, 18, 7, 10, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'e'], ['f', 'a'], ['dʒ', 'ɔ'], ['t̪', 'e', 'r']]",hefadʒɔt̪er
কমিশন,"[8, 7, 13, 4, 9, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ'], ['m', 'i'], ['ʃ', 'o', 'n']]",kɔmiʃon
ইনপুট,"[4, 6, 15, 14, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['i', 'n'], ['p', 'u', 'ʈ']]",inpuʈ
সেনাপ্রধান,"[9, 5, 6, 2, 15, 1, 3, 25, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['ʃ', 'e'], ['n', 'a'], ['p', 'r', 'o'], ['d̪ʱ', 'a', 'n']]",ʃenaprod̪ʱan
স্থানে,"[19, 32, 2, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['s', 't̪ʰ', 'a'], ['n', 'e']]",st̪ʰane
ছুরি,"[31, 14, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['tʃʰ', 'u'], ['r', 'i']]",tʃʰuri
হাফিজুর,"[21, 2, 27, 4, 18, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['h', 'a'], ['f', 'i'], ['dʒ', 'u', 'r']]",hafidʒur
পোলাপান,"[15, 3, 12, 2, 15, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['p', 'o'], ['l', 'a'], ['p', 'a', 'n']]",polapan
কঠোর,"[8, 7, 34, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['k', 'ɔ'], ['ʈʰ', 'o', 'r']]",kɔʈʰor
দুর্নীতি,"[17, 14, 1, 6, 4, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['d̪', 'u', 'r'], ['n', 'i'], ['t̪', 'i']]",d̪urnit̪i
ঘনীভূত,"[35, 3, 6, 4, 23, 14, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[['gʱ', 'o'], ['n', 'i'], ['bʱ', 'u'], ['t̪', 'o']]",gʱonibʱut̪o
