না	n a	7.01
করে	k ɔ . r e	7.00
এবং	e . b o ŋ	6.99
ও	o	6.95
এই	ei̯	6.90
থেকে	t̪ʰ e . k e	6.85
আর	a r	6.79
জন্য	dʒ o n . n o	6.77
তার	t̪ a r	6.77
হয়	h ɔe̯	6.77
করা	k ɔ . r a	6.74
এর	e r	6.73
একটি	e k . ʈ i	6.68
যে	dʒ e	6.67
আমি	a . m i	6.66
করতে	k o r . t̪ e	6.65
হবে	h ɔ . b e	6.61
এ	e	6.58
নিয়ে	n i . e	6.58
সাথে	s a . t̪ʰ e	6.58
আমার	a . m a r	6.57
কি	k i	6.55
তিনি	t̪ i . n i	6.55
এক	æ k	6.54
হয়েছে	h o . e . tʃʰ e	6.52
কিছু	k i . tʃʰ u	6.47
আমাদের	a . m a . d̪ e r	6.46
হয়ে	h o . e	6.46
কোন	k o n	6.45
ছিল	tʃʰ i . l o	6.45
আমরা	a m . r a	6.43
কিন্তু	k i n . t̪ u	6.42
তাদের	t̪ a . d̪ e r	6.40
মধ্যে	m o d̪ . d̪ʱ e	6.40
কথা	k ɔ . t̪ʰ a	6.39
তারা	t̪ a . r a	6.37
যায়	dʒ ae̯	6.37
অনেক	ɔ . n e k	6.36
যা	dʒ a	6.35
সময়	s ɔ . m ɔe̯	6.35
সে	ʃ e	6.35
হচ্ছে	h o tʃ . tʃʰ e	6.35
একটা	æ k . ʈ a	6.34
করেন	k ɔ . r e n	6.34
দিয়ে	d̪ i . e	6.34
করার	k ɔ . r a r	6.32
বা	b a	6.32
আছে	a . tʃʰ e	6.31
পর	p ɔ r	6.28
সব	ʃ ɔ b	6.28
একজন	æ k . dʒ o n	6.27
মনে	m o . n e	6.27
এখন	æ . kʰ o n	6.26
নয়	n ɔe̯	6.26
পারে	p a . r e	6.25
নেই	n ei̯	6.24
শুরু	ʃ u . r u	6.24
কাজ	k a dʒ	6.23
আপনার	a p . n a r	6.22
কাছে	k a . tʃʰ e	6.22
বলে	b ɔ . l e	6.22
যদি	dʒ o . d̪ i	6.21
তা	t̪ a	6.19
বছর	b ɔ . tʃʰ o r	6.19
হতে	h o . t̪ e	6.19
এটা	e . ʈ a	6.18
সেই	s ei̯	6.18
তাকে	t̪ a . k e	6.17
রয়েছে	r o . e . tʃʰ e	6.17
আপনি	a p . n i	6.16
হিসেবে	h i . ʃ e . b e	6.16
করেছে	k o . r e . tʃʰ e	6.15
তবে	t̪ ɔ . b e	6.15
নতুন	n o . t̪ u n	6.15
আগে	a . g e	6.14
ভালো	bʱ a . l o	6.14
প্রথম	p r o . t̪ʰ o m	6.13
যখন	dʒ ɔ . kʰ o n	6.12
করেছেন	k o . r e . tʃʰ e n	6.11
নাম	n a m	6.10
এমন	e . m o n	6.09
কে	k e	6.09
তাই	t̪ ai̯	6.09
তো	t̪ o	6.09
দিন	d̪ i n	6.09
দেখা	d̪ æ . kʰ a	6.09
বাংলাদেশ	b a ŋ . l a . d̪ e ʃ	6.09
কেউ	k eu̯	6.08
গেছে	g e . tʃʰ e	6.08
থাকে	t̪ʰ a . k e	6.08
বেশি	b e . ʃ i	6.07
কেন	k e . n o	6.06
জাতীয়	dʒ a . t̪ i . o	6.06
বিভিন্ন	b i . bʱ i n . n o	6.06
শেষ	ʃ e ʃ	6.06
মানুষ	m a . n u ʃ	6.05
পর্যন্ত	p o r . dʒ o n . t̪ o	6.04
খুব	kʰ u b	6.03
টাকা	ʈ a . k a	6.03
তুমি	t̪ u . m i	6.03
জন	dʒ o n	6.02
দিতে	d̪ i . t̪ e	6.02
দিকে	d̪ i . k e	6.01
দুই	d̪ ui̯	6.01
সরকার	s ɔ r . k a r	6.01
আজ	a dʒ	6.00
করছে	k o r . tʃʰ e	6.00
করবে	k o r . b e	6.00
করি	k o . r i	6.00
মতো	m ɔ . t̪ o	6.00
যাবে	dʒ a . b e	6.00
এখানে	e . kʰ a n . e	5.99
পরে	p ɔ . r e	5.99
মাধ্যমে	m a d̪ . d̪ʱ o . m e	5.99
উপর	u . p o r	5.98
আবার	a . b a r	5.97
ব্যবহার	b æ . b o . h a r	5.97
মত	m ɔ t̪	5.97
প্রতি	p r o . t̪ i	5.96
হল	h ɔ l	5.96
কারণ	k a . r o n	5.95
তখন	t̪ ɔ . kʰ o n	5.95
তোমার	t̪ o . m a r	5.95
দেশের	d̪ e . ʃ e r	5.95
ধরে	d̪ʱ ɔ . r e	5.95
প্রায়	p r ae̯	5.95
কোনো	k o . n o	5.94
নিজের	n i . dʒ e r	5.94
বিরুদ্ধে	b i . r u d̪ . d̪ʱ e	5.94
সঙ্গে	ʃ ɔ ŋ . g e	5.94
তাঁর	t̪ a r	5.93
বন্ধ	b ɔ n . d̪ʱ o	5.93
শুধু	ʃ u . d̪ʱ u	5.93
জীবন	dʒ i . b o n	5.92
তাহলে	t̪ a . h o . l e	5.92
পুলিশ	p u . l i ʃ	5.92
প্রধান	p r o . d̪ʱ a n	5.92
হলো	h o . l o	5.92
কারণে	k a . r o . n e	5.91
তৈরি	t̪ oi̯ . r i	5.91
বাংলাদেশের	b a ŋ . l a . d̪ e . ʃ e r	5.91
মা	m a	5.91
আরো	a . r o	5.90
যাচ্ছে	dʒ a tʃ . tʃʰ e	5.90
আরও	a r . o	5.89
যার	dʒ a r	5.89
চাই	tʃ ai̯	5.88
দেয়	d̪ æe̯	5.88
পাওয়া	p ao̯ . a	5.88
যারা	dʒ a . r a	5.88
সালে	ʃ a . l e	5.88
হলে	h ɔ . l e	5.88
অংশ	o ŋ . ʃ ɔ	5.87
চলে	tʃ ɔ . l e	5.87
ছিলেন	tʃʰ i . l e n	5.87
দেখতে	d̪ e kʰ . t̪ e	5.87
বলা	b ɔ . l a	5.87
সালের	ʃ a . l e r	5.87
মানুষের	m a . n u . ʃ e r	5.86
সবচেয়ে	ʃ ɔ b . tʃ e . e	5.86
সবাই	ʃ ɔ . b ai̯	5.86
আমাকে	a . m a . k e	5.85
দল	d̪ ɔ l	5.85
সেখানে	ʃ e . kʰ a . n e	5.85
করুন	k o . r u n	5.84
গত	g ɔ . t̪ o	5.84
ঠিক	ʈʰ i k	5.84
দলের	d̪ o . l e r	5.84
প্রকাশ	p r o . k a ʃ	5.84
হাজার	h a . dʒ a r	5.84
অন্য	o n . n o	5.83
ঢাকা	ɖʱ a . k a	5.83
বিশেষ	b i . ʃ e ʃ	5.83
বেশ	b e ʃ	5.83
যেন	dʒ æ . n o	5.83
হয়েছিল	h o . e . tʃʰ i . l o	5.83
অনুষ্ঠিত	o . n u s . ʈʰ i . t̪ o	5.82
দেখে	d̪ e . kʰ e	5.82
সকল	ʃ ɔ . k o l	5.82
ছবি	tʃʰ o . b i	5.81
দেওয়া	d̪ eo̯ . a	5.81
নামে	n a . m e	5.81
একই	e k . i	5.80
ফলে	f ɔ . l e	5.80
ভাল	bʱ a . l o	5.80
যেতে	dʒ e . t̪ e	5.80
র	r ɔ	5.80
চেষ্টা	tʃ e ʃ . ʈ a	5.79
নারী	n a . r i	5.79
নির্বাচন	n i r . b a . tʃ o n	5.79
বছরের	b ɔ . tʃʰ o . r e r	5.79
শিক্ষা	ʃ i k . kʰ a	5.79
