word1,word2,label
জমিনে,মেঝে,1
তাজমহলের,শিকারিদের,1
জমেছে,যেতে,1
আইল্যান্ডে,সুখে,1
আইজিপি,বসবাসকারী,1
শিষ্টাচার,সোমবার,1
নির্ভরতা,সুস্মিতা,1
বর্ডারের,সিদ্ধান্তের,1
চুক্তিপত্রে,বসন্তে,1
ইউরোপা,মুলা,1
নৌকাগুলো,যৎসামান্য,1
ওঠেনি,শ্রেণী,1
কার্যকরভাবে,ভরতে,1
মর্মাহত,লন্ডভন্ড,1
দেখেছি,সুবিধাটি,1
করিডোরে,গন্তব্যস্থলে,1
সনাক্ত,হতভম্ব,1
চোরদের,নিগ্রহের,1
অবৈধ,দায়িত্বপ্রাপ্ত,1
আক্রমনের,একরের,1
খন্ডে,তেহরানে,1
বিক্রি,মনযোগী,1
ডেপুটি,সামগ্রী,1
আইসল্যান্ডের,ইন্টারপোলের,1
দ্রব্য,নৃত্য,1
গুপ্তহত্যা,পাঁচটা,1
অভিসন্ধি,ঘাঁটি,1
তারে,ধরছে,1
ক্যালিফোর্নিয়া,দারা,1
পুঁথি,যন্ত্রপাতি,1
কাণ্ড,দ্রুত,1
অগ্নিকাণ্ড,পাল্টানো,1
উপার্জিত,পরিশোধিত,1
উৎফুল্ল,সাদাকালো,1
গ্রীষ্মকালের,ভুক্তভোগীদের,1
পিআর,লেটার,1
আক্রমণের,মাসের,1
উম্মে,চিনলে,1
মুদি,সভানেত্রী,1
এলোমেলোভাবে,মোবাইলে,1
ছেঁটে,বাঁচাবে,1
বৈষম্য,সাহিত্যকর্ম,1
ভেবে,হইলে,1
বাজনা,বাসিন্দারা,1
রাজকুমারী,হেলিকপ্টারটি,1
তুলনামূলকভাবে,বৎসরে,1
বিনিয়োগকারীদের,রাষ্ট্রপ্রধানের,1
রিও,সন্তানসহ,1
গুপ্তের,লক্ষের,1
ক্যারোলিনা,ছলনা,1
অভিজ্ঞ,হয়েছিল,1
আক্রমণে,সম্মতিতে,1
উল্লেখ্য,গৌরবান্বিত,1
রাতটা,সূরা,1
নগরী,বিডি,1
প্রতিষ্ঠানগুলোকে,হার্ভে,1
আগ্রা,জনসেবা,1
ফর্মে,সিটিতে,1
প্রতিপক্ষের,স্বাক্ষরের,1
কমান্ডের,মাওবাদীদের,1
করল,দেখাব,1
ইনজেকশন,ভরণপোষণ,1
জিমের,পরিবহণের,1
জার্নালে,সুবাদে,1
কোর্সের,রাজাকারদের,1
বিবাহিত,রোমিও,1
মৃধার,শিক্ষার,1
দুর্নীতিবিরোধী,লিলি,1
আদালতে,সাংস্কৃতিকভাবে,1
সামান্যতম,সুসম্পর্ক,1
পাখিগুলো,শাস্তিও,1
পরিসীমা,শরীরচর্চা,1
উজ্জীবিত,একশো,1
দেরীতে,বিতরণে,1
উপপ্রধানমন্ত্রী,কিছুরই,1
অভিবাসীদের,কম্বলের,1
দাবিতে,সাক্ষাত্কারে,1
পাঠের,রশীদের,1
বাস্তবায়নের,মুরাদের,1
একশ,গৃহযুদ্ধ,1
আবিস্কার,নিন্দার,1
তালিকাও,নরেন্দ্র,1
অগ্নিপরীক্ষা,সেরা,1
কাউন্সিলকে,বসবে,1
টিমকে,শহরতলীতে,1
মানুষটি,শুনেছি,1
আগামীকালের,প্রদেশের,1
খাঁটি,বাউন্ডারি,1
উল্লেখযোগ্যভাবে,পরিসরে,1
অভিবাসীরা,ফিফা,1
গোলযোগের,সাহিত্যের,1
ক্ল্যাসিক,সিনথেটিক,1
অঁরি,নূরানী,1
আরাফাতের,চিত্রকর্মের,1
অর্কেস্ট্রা,জার্মানরা,1
সংলাপের,স্টাইলের,1
পাখনা,সম্ভাবনা,1
উত্তেজনা,সাকা,1
জিমে,রুখতে,1
উঠার,হেলপার,1
জেনেভা,বোনা,1
শহরটা,শিল্পকলা,1
দেহে,মৌলভীবাজারে,1
এখানকার,ওভার,1
জনের,ভিতরের,1
ঘৃণ্য,পরানো,1
দফা,শিক্ষাব্যবস্থা,1
উৎসবকে,দাদাকে,1
কক্ষে,কৃষিক্ষেত্রে,1
বিস্মৃত,সার্বভৌম,1
ফেনীতে,লোকটিকে,1
অপহরণকারী,আসেননি,1
ডিএসইতে,প্রভাবকে,1
কাবা,দুর্গা,1
মধ্যাহ্ন,সম্পন্ন,1
