llm,task,layer,category,control_label,mean_score,std_score
banglat5,g2p,0,A,False,-9.195053980913652e+28,1.4092667553359084e+29
banglat5,g2p,0,M,False,-2.7221031974656314e+28,3.014757879574249e+28
banglat5,g2p,0,CB,False,-3.4101055976001966e+29,2.786985446863628e+29
banglat5,g2p,1,A,False,-3.552742339795953e+31,3.607033759417275e+31
banglat5,g2p,1,M,False,-9.28633281927391e+30,6.730579377881393e+30
banglat5,g2p,1,CB,False,-5.423680545565852e+31,4.487881885837522e+31
banglat5,g2p,2,A,False,-4.427609045354885e+31,4.38405812588164e+31
banglat5,g2p,2,M,False,-1.1794635426914439e+31,8.371068682245036e+30
banglat5,g2p,2,CB,False,-6.967519719405185e+31,6.639840235924602e+31
banglat5,g2p,3,A,False,-5.656083341262761e+31,5.5822589311380875e+31
banglat5,g2p,3,M,False,-1.4680194821219473e+31,9.813967429055438e+30
banglat5,g2p,3,CB,False,-1.1858863148708945e+32,1.01800592731135e+32
banglat5,g2p,4,A,False,-8.5893255218719e+31,8.488421263157736e+31
banglat5,g2p,4,M,False,-1.6745454027557678e+31,1.1519589734900745e+31
banglat5,g2p,4,CB,False,-1.164722095360355e+32,9.724427973131883e+31
banglat5,g2p,5,A,False,-6.363113238412307e+31,6.175404089732365e+31
banglat5,g2p,5,M,False,-1.9064932526903241e+31,1.3373507841848987e+31
banglat5,g2p,5,CB,False,-1.0886146529031201e+32,9.844762881663704e+31
banglat5,g2p,6,A,False,-6.226374014327434e+31,6.109425734066912e+31
banglat5,g2p,6,M,False,-1.8111181592920848e+31,1.2778097070375118e+31
banglat5,g2p,6,CB,False,-1.1166755050931023e+32,1.0438569452034677e+32
banglat5,g2p,7,A,False,-5.451778455273649e+31,5.822252257300516e+31
banglat5,g2p,7,M,False,-1.9137540443181024e+31,1.3555413433412882e+31
banglat5,g2p,7,CB,False,-9.35645722449459e+31,7.838352739700398e+31
banglat5,g2p,8,A,False,-4.940719386727605e+31,5.548744094765563e+31
banglat5,g2p,8,M,False,-1.8952587632488255e+31,1.2653528083217176e+31
banglat5,g2p,8,CB,False,-1.1037646246058643e+32,1.0608844372368509e+32
banglat5,g2p,9,A,False,-5.46927102724162e+31,5.674406542595019e+31
banglat5,g2p,9,M,False,-1.7164466715187872e+31,1.1171506077555434e+31
banglat5,g2p,9,CB,False,-1.11619654039899e+32,1.386416648349493e+32
banglat5,g2p,10,A,False,-4.622731990443036e+31,4.545017921745956e+31
banglat5,g2p,10,M,False,-1.7922977839690506e+31,1.222892029510048e+31
banglat5,g2p,10,CB,False,-9.939683972674158e+31,9.649021548569066e+31
banglat5,g2p,11,A,False,-5.6334387622886435e+31,5.668279827965756e+31
banglat5,g2p,11,M,False,-1.9343133041743939e+31,1.2917692245008218e+31
banglat5,g2p,11,CB,False,-1.0273279690094838e+32,9.01771641716509e+31
banglat5,g2p,12,A,False,-1.3326322013834158e+30,1.5904924389147262e+30
banglat5,g2p,12,M,False,-1.2084549384185427e+29,1.2584037171570722e+29
banglat5,g2p,12,CB,False,-3.6021127524291873e+30,3.129565946797468e+30
banglat5,g2p,0,A,True,-0.008941510599047808,0.0025758707829766953
banglat5,g2p,0,M,True,-0.00354827881029164,0.0011898108628759587
banglat5,g2p,0,CB,True,-0.014144870571700973,0.006910491727400888
banglat5,g2p,1,A,True,-1.7285663953793624,0.12593167537801453
banglat5,g2p,1,M,True,-0.8477853774815447,0.041969337696937815
banglat5,g2p,1,CB,True,-1.406301716139689,0.1607496462085588
banglat5,g2p,2,A,True,-1.9472620057987922,0.1326361194782874
banglat5,g2p,2,M,True,-0.9572662499444744,0.04876973400061053
banglat5,g2p,2,CB,True,-1.5882129934978553,0.15076433063583777
banglat5,g2p,3,A,True,-2.5212867731362754,0.2141348890126393
banglat5,g2p,3,M,True,-1.0926905122759885,0.04869076099041293
banglat5,g2p,3,CB,True,-1.85912244421765,0.1734544933830932
banglat5,g2p,4,A,True,-2.8145941412837323,0.19373445160340988
banglat5,g2p,4,M,True,-1.1506740283064363,0.0836206235985534
banglat5,g2p,4,CB,True,-2.404502883524052,1.09347532776885
banglat5,g2p,5,A,True,-3.0080609897446475,0.19608461787098386
banglat5,g2p,5,M,True,-1.1866653835400016,0.07669159742160361
banglat5,g2p,5,CB,True,-2.683892916742689,1.2664073905257345
banglat5,g2p,6,A,True,-3.0993019785969222,0.16065197119370608
banglat5,g2p,6,M,True,-1.2035358230716715,0.07447225184539111
banglat5,g2p,6,CB,True,-2.7064696806808968,1.2644384099272592
banglat5,g2p,7,A,True,-3.2084361754177317,0.22300160947387782
banglat5,g2p,7,M,True,-1.2171862512968885,0.09164137371906844
banglat5,g2p,7,CB,True,-2.5493588661788054,1.0302967448877802
banglat5,g2p,8,A,True,-3.3229460466489926,0.26860528523312144
banglat5,g2p,8,M,True,-1.2270089367559804,0.09334963031196608
banglat5,g2p,8,CB,True,-2.6020098530908298,1.2652012782440707
banglat5,g2p,9,A,True,-3.237898863197156,0.2327637533965827
banglat5,g2p,9,M,True,-1.2089105208641404,0.07321357620763046
banglat5,g2p,9,CB,True,-2.4956043123805465,0.8745429174067705
banglat5,g2p,10,A,True,-3.250361452088319,0.20865816808158763
banglat5,g2p,10,M,True,-1.2303188809438839,0.08035902649570002
banglat5,g2p,10,CB,True,-2.2134846736908522,0.6229357567651408
banglat5,g2p,11,A,True,-3.2314845710583717,0.2059454841841004
banglat5,g2p,11,M,True,-1.203903279997965,0.07925468196057325
banglat5,g2p,11,CB,True,-2.3295569370973133,0.764666209783143
banglat5,g2p,12,A,True,-0.008985015846892484,0.0024662152783641914
banglat5,g2p,12,M,True,-0.0036112772860047854,0.0012876845087335853
banglat5,g2p,12,CB,True,-0.015031304176787275,0.008128089467885874
banglat5,syllables,0,A,False,-0.011595799838773657,0.011247099189384374
banglat5,syllables,0,M,False,-0.002365724473894204,0.002395147888132799
banglat5,syllables,0,CB,False,-0.0075271171760802336,0.008787193841760113
banglat5,syllables,1,A,False,0.16888924185882775,0.09643771080447357
banglat5,syllables,1,M,False,0.2666748708287874,0.06573434634457398
banglat5,syllables,1,CB,False,-0.037137459327184465,0.23594755663182565
banglat5,syllables,2,A,False,0.315951310694997,0.06631330872105833
banglat5,syllables,2,M,False,0.36379591728896343,0.04843423073585457
banglat5,syllables,2,CB,False,0.07394913323567798,0.24365257831411533
banglat5,syllables,3,A,False,0.14949948126435395,0.09155007959494514
banglat5,syllables,3,M,False,0.341197061223174,0.06671183893777335
banglat5,syllables,3,CB,False,0.021676475640124294,0.21518337307784008
banglat5,syllables,4,A,False,0.025100704397408878,0.17320247309074788
banglat5,syllables,4,M,False,0.35000942044876904,0.04995549043584951
banglat5,syllables,4,CB,False,-0.04293366012003728,0.22086607061630442
banglat5,syllables,5,A,False,0.09914924401293626,0.1569369338008348
banglat5,syllables,5,M,False,0.34324193007947845,0.05201732551152023
banglat5,syllables,5,CB,False,-1.379665370917128,2.8132953805134417
banglat5,syllables,6,A,False,0.26960575004720666,0.12114185134021514
banglat5,syllables,6,M,False,0.272200335166151,0.07097254443380112
banglat5,syllables,6,CB,False,-0.9731963663119118,1.6264167508152036
banglat5,syllables,7,A,False,0.18139803083311193,0.12984419322101165
banglat5,syllables,7,M,False,0.285997424094671,0.08271183238568824
banglat5,syllables,7,CB,False,-1.4663195877969186,3.237099097807778
banglat5,syllables,8,A,False,0.25095342271779236,0.10068535185578988
banglat5,syllables,8,M,False,0.2978906204275351,0.06627902750303435
